# Gene Family	SRS1007613.ko	tiny-test-data-mt.ko
K00992: N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]|unclassified	7.867	0
K00995: CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	251.312	0
K00995: CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]|g__Chromobacterium.s__Chromobacterium_violaceum	16.116	0
K00995: CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]|g__Corynebacterium.s__Corynebacterium_glutamicum	56.576	0
K00995: CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]|g__Escherichia.s__Escherichia_coli	178.62	0
K00997: holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	626.138	0
K00997: holo-[acyl-carrier protein] synthase [EC:2.7.8.7]|g__Corynebacterium.s__Corynebacterium_glutamicum	159.223	0
K00997: holo-[acyl-carrier protein] synthase [EC:2.7.8.7]|g__Escherichia.s__Escherichia_coli	71.082	0
K00997: holo-[acyl-carrier protein] synthase [EC:2.7.8.7]|g__Polaromonas.s__Polaromonas_naphthalenivorans	395.833	0
K01002: phosphoglycerol transferase [EC:2.7.8.20]	13.722	0
K01002: phosphoglycerol transferase [EC:2.7.8.20]|g__Escherichia.s__Escherichia_coli	13.722	0
K01007: pyruvate, water dikinase [EC:2.7.9.2]	5.871	0
K01007: pyruvate, water dikinase [EC:2.7.9.2]|unclassified	5.871	0
K01011: thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	13.151	0
K01011: thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]|unclassified	13.151	0
K01012: biotin synthase [EC:2.8.1.6]	28.391	0
K01012: biotin synthase [EC:2.8.1.6]|g__Chromobacterium.s__Chromobacterium_violaceum	4.575	0
K01012: biotin synthase [EC:2.8.1.6]|g__Polaromonas.s__Polaromonas_naphthalenivorans	17.461	0
K01012: biotin synthase [EC:2.8.1.6]|unclassified	6.355	0
K01028: 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	47.965	0
K01028: 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]|g__Polaromonas.s__Polaromonas_naphthalenivorans	47.965	0
K01029: 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	29.598	0
K01029: 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]|unclassified	29.598	0
K01032: 3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]	53.801	0
K01032: 3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]|g__Corynebacterium.s__Corynebacterium_glutamicum	23.415	0
K01032: 3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.386	0
K01046: triacylglycerol lipase [EC:3.1.1.3]	5.176	0
K01046: triacylglycerol lipase [EC:3.1.1.3]|unclassified	5.176	0
K01051: pectinesterase [EC:3.1.1.11]	15.735	0
K01051: pectinesterase [EC:3.1.1.11]|g__Escherichia.s__Escherichia_coli	15.735	0
K01056: peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	60.251	0
K01056: peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]|g__Chromobacterium.s__Chromobacterium_violaceum	43.267	0
K01056: peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]|unclassified	16.984	0
K01058: phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]	35.941	0
K01058: phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]|g__Escherichia.s__Escherichia_coli	35.941	0
K01061: carboxymethylenebutenolidase [EC:3.1.1.45]	59.597	0
K01061: carboxymethylenebutenolidase [EC:3.1.1.45]|g__Escherichia.s__Escherichia_coli	59.597	0
K01069: hydroxyacylglutathione hydrolase [EC:3.1.2.6]	270.977	0
K01069: hydroxyacylglutathione hydrolase [EC:3.1.2.6]|g__Chromobacterium.s__Chromobacterium_violaceum	41.978	0
K01069: hydroxyacylglutathione hydrolase [EC:3.1.2.6]|g__Escherichia.s__Escherichia_coli	94.374	0
K01069: hydroxyacylglutathione hydrolase [EC:3.1.2.6]|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.87	0
K01069: hydroxyacylglutathione hydrolase [EC:3.1.2.6]|unclassified	108.754	0
K01070: S-formylglutathione hydrolase [EC:3.1.2.12]	172.301	0
K01070: S-formylglutathione hydrolase [EC:3.1.2.12]|g__Chromobacterium.s__Chromobacterium_violaceum	152.52	0
K01070: S-formylglutathione hydrolase [EC:3.1.2.12]|g__Roseobacter.s__Roseobacter_denitrificans	19.782	0
K01079: phosphoserine phosphatase [EC:3.1.3.3]	22.249	0
K01079: phosphoserine phosphatase [EC:3.1.3.3]|g__Escherichia.s__Escherichia_coli	22.249	0
K01082: 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]	404.962	0
K01082: 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]|g__Escherichia.s__Escherichia_coli	35.984	0
K01082: 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]|g__Staphylococcus.s__Staphylococcus_epidermidis	368.978	0
K01085: glucose-1-phosphatase [EC:3.1.3.10]	9.073	0
K01085: glucose-1-phosphatase [EC:3.1.3.10]|g__Escherichia.s__Escherichia_coli	9.073	0
K01091: phosphoglycolate phosphatase [EC:3.1.3.18]	18.245	0
K01091: phosphoglycolate phosphatase [EC:3.1.3.18]|g__Chromobacterium.s__Chromobacterium_violaceum	18.245	0
K01104: protein-tyrosine phosphatase [EC:3.1.3.48]	2179.727	0
K01104: protein-tyrosine phosphatase [EC:3.1.3.48]|g__Escherichia.s__Escherichia_coli	183.726	0
K01104: protein-tyrosine phosphatase [EC:3.1.3.48]|g__Staphylococcus.s__Staphylococcus_epidermidis	1990.29	0
K01104: protein-tyrosine phosphatase [EC:3.1.3.48]|unclassified	5.711	0
K01113: alkaline phosphatase D [EC:3.1.3.1]	21.2	0
K01113: alkaline phosphatase D [EC:3.1.3.1]|g__Chromobacterium.s__Chromobacterium_violaceum	21.2	0
K01118: FMN-dependent NADH-azoreductase [EC:1.7.1.17]	34.069	0
K01118: FMN-dependent NADH-azoreductase [EC:1.7.1.17]|g__Chromobacterium.s__Chromobacterium_violaceum	20.003	0
K01118: FMN-dependent NADH-azoreductase [EC:1.7.1.17]|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.066	0
K01129: dGTPase [EC:3.1.5.1]	34.065	0
K01129: dGTPase [EC:3.1.5.1]|g__Escherichia.s__Escherichia_coli	34.065	0
K01139: GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	22.788	0
K01139: GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]|g__Chromobacterium.s__Chromobacterium_violaceum	10.796	0
K01139: GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.992	0
K01141: exodeoxyribonuclease I [EC:3.1.11.1]	35.291	0
K01141: exodeoxyribonuclease I [EC:3.1.11.1]|g__Escherichia.s__Escherichia_coli	20.969	0
K01141: exodeoxyribonuclease I [EC:3.1.11.1]|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.321	0
K01144: exodeoxyribonuclease V [EC:3.1.11.5]	37.375	0
K01144: exodeoxyribonuclease V [EC:3.1.11.5]|g__Roseobacter.s__Roseobacter_denitrificans	37.375	0
K01147: exoribonuclease II [EC:3.1.13.1]	75.953	0
K01147: exoribonuclease II [EC:3.1.13.1]|g__Polaromonas.s__Polaromonas_naphthalenivorans	75.953	0
K01150: deoxyribonuclease I [EC:3.1.21.1]	18.919	0
K01150: deoxyribonuclease I [EC:3.1.21.1]|unclassified	18.919	0
K01151: deoxyribonuclease IV [EC:3.1.21.2]	42.034	0
K01151: deoxyribonuclease IV [EC:3.1.21.2]|g__Escherichia.s__Escherichia_coli	42.034	0
K01156: type III restriction enzyme [EC:3.1.21.5]	7.945	0
K01156: type III restriction enzyme [EC:3.1.21.5]|unclassified	7.945	0
K01169: ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]	40.957	0
K01169: ribonuclease I (enterobacter ribonuclease) [EC:4.6.1.21]|g__Chromobacterium.s__Chromobacterium_violaceum	40.957	0
K01174: micrococcal nuclease [EC:3.1.31.1]	43.28	0
K01174: micrococcal nuclease [EC:3.1.31.1]|g__Corynebacterium.s__Corynebacterium_glutamicum	43.28	0
K01185: lysozyme [EC:3.2.1.17]	127.837	0
K01185: lysozyme [EC:3.2.1.17]|g__Chromobacterium.s__Chromobacterium_violaceum	60.312	0
K01185: lysozyme [EC:3.2.1.17]|g__Escherichia.s__Escherichia_coli	67.525	0
K01194: alpha,alpha-trehalase [EC:3.2.1.28]	27.043	0
K01194: alpha,alpha-trehalase [EC:3.2.1.28]|g__Escherichia.s__Escherichia_coli	22.679	0
K01194: alpha,alpha-trehalase [EC:3.2.1.28]|unclassified	4.365	0
K01195: beta-glucuronidase [EC:3.2.1.31]	2.94	0
K01195: beta-glucuronidase [EC:3.2.1.31]|unclassified	2.94	0
K01207: beta-N-acetylhexosaminidase [EC:3.2.1.52]	11.646	0
K01207: beta-N-acetylhexosaminidase [EC:3.2.1.52]|g__Chromobacterium.s__Chromobacterium_violaceum	5.077	0
K01207: beta-N-acetylhexosaminidase [EC:3.2.1.52]|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.569	0
K01223: 6-phospho-beta-glucosidase [EC:3.2.1.86]	51.077	0
K01223: 6-phospho-beta-glucosidase [EC:3.2.1.86]|g__Escherichia.s__Escherichia_coli	51.077	0
K01226: trehalose-6-phosphate hydrolase [EC:3.2.1.93]	61.411	0
K01226: trehalose-6-phosphate hydrolase [EC:3.2.1.93]|g__Chromobacterium.s__Chromobacterium_violaceum	42.972	0
K01226: trehalose-6-phosphate hydrolase [EC:3.2.1.93]|g__Escherichia.s__Escherichia_coli	15.731	0
K01226: trehalose-6-phosphate hydrolase [EC:3.2.1.93]|g__Staphylococcus.s__Staphylococcus_epidermidis	2.708	0
K01243: adenosylhomocysteine nucleosidase [EC:3.2.2.9]	123.195	0
K01243: adenosylhomocysteine nucleosidase [EC:3.2.2.9]|g__Corynebacterium.s__Corynebacterium_glutamicum	24.648	0
K01243: adenosylhomocysteine nucleosidase [EC:3.2.2.9]|g__Escherichia.s__Escherichia_coli	98.548	0
K01251: adenosylhomocysteinase [EC:3.3.1.1]	21.615	0
K01251: adenosylhomocysteinase [EC:3.3.1.1]|g__Corynebacterium.s__Corynebacterium_glutamicum	21.615	0
K01255: leucyl aminopeptidase [EC:3.4.11.1]	59.557	0
K01255: leucyl aminopeptidase [EC:3.4.11.1]|g__Escherichia.s__Escherichia_coli	59.557	0
K01256: aminopeptidase N [EC:3.4.11.2]	34.623	0
K01256: aminopeptidase N [EC:3.4.11.2]|g__Escherichia.s__Escherichia_coli	34.623	0
K01258: tripeptide aminopeptidase [EC:3.4.11.4]	16.841	0
K01258: tripeptide aminopeptidase [EC:3.4.11.4]|g__Escherichia.s__Escherichia_coli	16.841	0
K01265: methionyl aminopeptidase [EC:3.4.11.18]	32.366	0
K01265: methionyl aminopeptidase [EC:3.4.11.18]|g__Chromobacterium.s__Chromobacterium_violaceum	32.366	0
K01270: dipeptidase D [EC:3.4.13.-]	39.904	0
K01270: dipeptidase D [EC:3.4.13.-]|g__Escherichia.s__Escherichia_coli	39.904	0
K01297: muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	27.268	0
K01297: muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]|g__Escherichia.s__Escherichia_coli	27.268	0
K01304: pyroglutamyl-peptidase [EC:3.4.19.3]	180.962	0
K01304: pyroglutamyl-peptidase [EC:3.4.19.3]|g__Chromobacterium.s__Chromobacterium_violaceum	73.567	0
K01304: pyroglutamyl-peptidase [EC:3.4.19.3]|g__Escherichia.s__Escherichia_coli	107.395	0
K01338: ATP-dependent Lon protease [EC:3.4.21.53]	45.925	0
K01338: ATP-dependent Lon protease [EC:3.4.21.53]|g__Chromobacterium.s__Chromobacterium_violaceum	3.944	0
K01338: ATP-dependent Lon protease [EC:3.4.21.53]|g__Escherichia.s__Escherichia_coli	9.996	0
K01338: ATP-dependent Lon protease [EC:3.4.21.53]|g__Polaromonas.s__Polaromonas_naphthalenivorans	26.337	0
K01338: ATP-dependent Lon protease [EC:3.4.21.53]|g__Roseobacter.s__Roseobacter_denitrificans	5.647	0
K01354: oligopeptidase B [EC:3.4.21.83]	34.487	0
K01354: oligopeptidase B [EC:3.4.21.83]|g__Escherichia.s__Escherichia_coli	34.487	0
K01356: repressor LexA [EC:3.4.21.88]	68.813	0
K01356: repressor LexA [EC:3.4.21.88]|g__Escherichia.s__Escherichia_coli	38.87	0
K01356: repressor LexA [EC:3.4.21.88]|g__Roseobacter.s__Roseobacter_denitrificans	14.116	0
K01356: repressor LexA [EC:3.4.21.88]|unclassified	15.827	0
K01358: ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	69.896	0
K01358: ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]|g__Chromobacterium.s__Chromobacterium_violaceum	16.051	0
K01358: ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]|g__Corynebacterium.s__Corynebacterium_glutamicum	53.846	0
K01399: pseudolysin [EC:3.4.24.26]	7.761	0
K01399: pseudolysin [EC:3.4.24.26]|g__Chromobacterium.s__Chromobacterium_violaceum	7.761	0
K01409: N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	95.863	0
K01409: N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]|g__Chromobacterium.s__Chromobacterium_violaceum	5.986	0
K01409: N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]|g__Corynebacterium.s__Corynebacterium_glutamicum	79.991	0
K01409: N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]|g__Escherichia.s__Escherichia_coli	5.026	0
K01409: N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]|g__Polaromonas.s__Polaromonas_naphthalenivorans	4.86	0
K01414: oligopeptidase A [EC:3.4.24.70]	20.544	0
K01414: oligopeptidase A [EC:3.4.24.70]|g__Chromobacterium.s__Chromobacterium_violaceum	9.249	0
K01414: oligopeptidase A [EC:3.4.24.70]|g__Escherichia.s__Escherichia_coli	11.295	0
K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	320.972	0
K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]|g__Chromobacterium.s__Chromobacterium_violaceum	32.054	0
K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]|g__Escherichia.s__Escherichia_coli	177.272	0
K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]|g__Roseobacter.s__Roseobacter_denitrificans	11.571	0
K01419: ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]|g__Staphylococcus.s__Staphylococcus_epidermidis	100.075	0
K01425: glutaminase [EC:3.5.1.2]	102.405	0
K01425: glutaminase [EC:3.5.1.2]|g__Chromobacterium.s__Chromobacterium_violaceum	12.599	0
K01425: glutaminase [EC:3.5.1.2]|g__Escherichia.s__Escherichia_coli	89.806	0
K01430: urease subunit gamma [EC:3.5.1.5]	8.766	0
K01430: urease subunit gamma [EC:3.5.1.5]|unclassified	8.766	0
K01433: formyltetrahydrofolate deformylase [EC:3.5.1.10]	16.396	0
K01433: formyltetrahydrofolate deformylase [EC:3.5.1.10]|unclassified	16.396	0
K01439: succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	26.421	0
K01439: succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]|g__Escherichia.s__Escherichia_coli	14.096	0
K01439: succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.325	0
K01443: N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	17.52	0
K01443: N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]|unclassified	17.52	0
K01448: N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	91.631	0
K01448: N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]|g__Escherichia.s__Escherichia_coli	86.691	0
K01448: N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]|unclassified	4.94	0
K01462: peptide deformylase [EC:3.5.1.88]	143.503	0
K01462: peptide deformylase [EC:3.5.1.88]|g__Corynebacterium.s__Corynebacterium_glutamicum	83.725	0
K01462: peptide deformylase [EC:3.5.1.88]|g__Polaromonas.s__Polaromonas_naphthalenivorans	59.778	0
K01468: imidazolonepropionase [EC:3.5.2.7]	43.533	0
K01468: imidazolonepropionase [EC:3.5.2.7]|g__Chromobacterium.s__Chromobacterium_violaceum	12.816	0
K01468: imidazolonepropionase [EC:3.5.2.7]|g__Roseobacter.s__Roseobacter_denitrificans	30.717	0
K01479: formiminoglutamase [EC:3.5.3.8]	154.07	0
K01479: formiminoglutamase [EC:3.5.3.8]|g__Chromobacterium.s__Chromobacterium_violaceum	73.75	0
K01479: formiminoglutamase [EC:3.5.3.8]|g__Roseobacter.s__Roseobacter_denitrificans	80.32	0
K01480: agmatinase [EC:3.5.3.11]	29.941	0
K01480: agmatinase [EC:3.5.3.11]|g__Escherichia.s__Escherichia_coli	22.481	0
K01480: agmatinase [EC:3.5.3.11]|unclassified	7.46	0
K01484: succinylarginine dihydrolase [EC:3.5.3.23]	45.83	0
K01484: succinylarginine dihydrolase [EC:3.5.3.23]|g__Chromobacterium.s__Chromobacterium_violaceum	15.346	0
K01484: succinylarginine dihydrolase [EC:3.5.3.23]|g__Escherichia.s__Escherichia_coli	30.484	0
K01486: adenine deaminase [EC:3.5.4.2]	8.346	0
K01486: adenine deaminase [EC:3.5.4.2]|g__Roseobacter.s__Roseobacter_denitrificans	8.346	0
K01495: GTP cyclohydrolase IA [EC:3.5.4.16]	138.727	0
K01495: GTP cyclohydrolase IA [EC:3.5.4.16]|g__Corynebacterium.s__Corynebacterium_glutamicum	100.132	0
K01495: GTP cyclohydrolase IA [EC:3.5.4.16]|unclassified	38.595	0
K01497: GTP cyclohydrolase II [EC:3.5.4.25]	22.216	0
K01497: GTP cyclohydrolase II [EC:3.5.4.25]|unclassified	22.216	0
K01505: 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	11.07	0
K01505: 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]|unclassified	11.07	0
K01507: inorganic pyrophosphatase [EC:3.6.1.1]	19.804	0
K01507: inorganic pyrophosphatase [EC:3.6.1.1]|g__Escherichia.s__Escherichia_coli	19.804	0
K01523: phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	51.033	0
K01523: phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]|g__Corynebacterium.s__Corynebacterium_glutamicum	51.033	0
K01525: bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	2.69	0
K01525: bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]|unclassified	2.69	0
K01531: P-type Mg2+ transporter [EC:7.2.2.14]	7.795	0
K01531: P-type Mg2+ transporter [EC:7.2.2.14]|g__Escherichia.s__Escherichia_coli	7.795	0
K01548: potassium-transporting ATPase KdpC subunit	88.446	0
K01548: potassium-transporting ATPase KdpC subunit|g__Escherichia.s__Escherichia_coli	88.446	0
K01551: arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]	18.238	0
K01551: arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]|g__Polaromonas.s__Polaromonas_naphthalenivorans	18.238	0
K01563: haloalkane dehalogenase [EC:3.8.1.5]	48.079	0
K01563: haloalkane dehalogenase [EC:3.8.1.5]|g__Polaromonas.s__Polaromonas_naphthalenivorans	48.079	0
K01575: acetolactate decarboxylase [EC:4.1.1.5]	14.016	0
K01575: acetolactate decarboxylase [EC:4.1.1.5]|g__Escherichia.s__Escherichia_coli	14.016	0
K01577: oxalyl-CoA decarboxylase [EC:4.1.1.8]	19.767	0
K01577: oxalyl-CoA decarboxylase [EC:4.1.1.8]|g__Escherichia.s__Escherichia_coli	19.767	0
K01579: aspartate 1-decarboxylase [EC:4.1.1.11]	25.164	0
K01579: aspartate 1-decarboxylase [EC:4.1.1.11]|unclassified	25.164	0
K01580: glutamate decarboxylase [EC:4.1.1.15]	36.985	0
K01580: glutamate decarboxylase [EC:4.1.1.15]|g__Escherichia.s__Escherichia_coli	31.768	0
K01580: glutamate decarboxylase [EC:4.1.1.15]|unclassified	5.217	0
K01581: ornithine decarboxylase [EC:4.1.1.17]	22.596	0
K01581: ornithine decarboxylase [EC:4.1.1.17]|g__Escherichia.s__Escherichia_coli	22.596	0
K01584: arginine decarboxylase [EC:4.1.1.19]	25.346	0
K01584: arginine decarboxylase [EC:4.1.1.19]|g__Escherichia.s__Escherichia_coli	25.346	0
K01586: diaminopimelate decarboxylase [EC:4.1.1.20]	23.279	0
K01586: diaminopimelate decarboxylase [EC:4.1.1.20]|g__Corynebacterium.s__Corynebacterium_glutamicum	23.279	0
K01588: 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	113.413	0
K01588: 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]|g__Roseobacter.s__Roseobacter_denitrificans	113.413	0
K01589: 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	31.254	0
K01589: 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]|g__Corynebacterium.s__Corynebacterium_glutamicum	31.254	0
K01591: orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	40.251	0
K01591: orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]|g__Corynebacterium.s__Corynebacterium_glutamicum	15.475	0
K01591: orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]|g__Escherichia.s__Escherichia_coli	24.776	0
K01599: uroporphyrinogen decarboxylase [EC:4.1.1.37]	64.68	0
K01599: uroporphyrinogen decarboxylase [EC:4.1.1.37]|g__Escherichia.s__Escherichia_coli	51.224	0
K01599: uroporphyrinogen decarboxylase [EC:4.1.1.37]|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.457	0
K01609: indole-3-glycerol phosphate synthase [EC:4.1.1.48]	20.032	0
K01609: indole-3-glycerol phosphate synthase [EC:4.1.1.48]|g__Chromobacterium.s__Chromobacterium_violaceum	20.032	0
K01619: deoxyribose-phosphate aldolase [EC:4.1.2.4]	30.561	0
K01619: deoxyribose-phosphate aldolase [EC:4.1.2.4]|g__Roseobacter.s__Roseobacter_denitrificans	30.561	0
K01620: threonine aldolase [EC:4.1.2.48]	31.057	0
K01620: threonine aldolase [EC:4.1.2.48]|g__Escherichia.s__Escherichia_coli	31.057	0
K01621: xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	33.539	0
K01621: xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]|g__Polaromonas.s__Polaromonas_naphthalenivorans	33.539	0
K01624: fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	50.517	0
K01624: fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|g__Escherichia.s__Escherichia_coli	15.274	0
K01624: fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|g__Staphylococcus.s__Staphylococcus_epidermidis	10.448	0
K01624: fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|unclassified	24.795	0
K01625: 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	31.343	0
K01625: 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]|g__Escherichia.s__Escherichia_coli	31.343	0
K01626: 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	80.128	0
K01626: 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]|g__Chromobacterium.s__Chromobacterium_violaceum	28.976	0
K01626: 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]|g__Escherichia.s__Escherichia_coli	51.152	0
K01629: rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	112.235	0
K01629: rhamnulose-1-phosphate aldolase [EC:4.1.2.19]|g__Escherichia.s__Escherichia_coli	10.91	0
K01629: rhamnulose-1-phosphate aldolase [EC:4.1.2.19]|g__Staphylococcus.s__Staphylococcus_epidermidis	101.325	0
K01630: 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]	130.483	0
K01630: 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]|g__Escherichia.s__Escherichia_coli	86.25	0
K01630: 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]|g__Polaromonas.s__Polaromonas_naphthalenivorans	44.233	0
K01637: isocitrate lyase [EC:4.1.3.1]	17.517	0
K01637: isocitrate lyase [EC:4.1.3.1]|unclassified	17.517	0
K01638: malate synthase [EC:2.3.3.9]	36.659	0
K01638: malate synthase [EC:2.3.3.9]|g__Corynebacterium.s__Corynebacterium_glutamicum	8.243	0
K01638: malate synthase [EC:2.3.3.9]|g__Escherichia.s__Escherichia_coli	4.138	0
K01638: malate synthase [EC:2.3.3.9]|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.155	0
K01638: malate synthase [EC:2.3.3.9]|g__Roseobacter.s__Roseobacter_denitrificans	14.123	0
K01640: hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	25.4	0
K01640: hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.4	0
K01652: acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	8.381	0
K01652: acetolactate synthase I/II/III large subunit [EC:2.2.1.6]|g__Chromobacterium.s__Chromobacterium_violaceum	8.381	0
K01653: acetolactate synthase I/III small subunit [EC:2.2.1.6]	192.774	0
K01653: acetolactate synthase I/III small subunit [EC:2.2.1.6]|g__Chromobacterium.s__Chromobacterium_violaceum	19.706	0
K01653: acetolactate synthase I/III small subunit [EC:2.2.1.6]|g__Escherichia.s__Escherichia_coli	173.068	0
K01657: anthranilate synthase component I [EC:4.1.3.27]	11.511	0
K01657: anthranilate synthase component I [EC:4.1.3.27]|g__Chromobacterium.s__Chromobacterium_violaceum	11.511	0
K01658: anthranilate synthase component II [EC:4.1.3.27]	33.148	0
K01658: anthranilate synthase component II [EC:4.1.3.27]|g__Corynebacterium.s__Corynebacterium_glutamicum	33.148	0
K01659: 2-methylcitrate synthase [EC:2.3.3.5]	18.361	0
K01659: 2-methylcitrate synthase [EC:2.3.3.5]|g__Corynebacterium.s__Corynebacterium_glutamicum	18.361	0
K01661: naphthoate synthase [EC:4.1.3.36]	5.082	0
K01661: naphthoate synthase [EC:4.1.3.36]|unclassified	5.082	0
K01662: 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	43.526	0
K01662: 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]|g__Corynebacterium.s__Corynebacterium_glutamicum	43.526	0
K01664: para-aminobenzoate synthetase component II [EC:2.6.1.85]	38.612	0
