# Gene Family	SRS1007613.rxn	tiny-test-data-mt.rxn
ALCOHOL-DEHYDROG-RXN: ethanol dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.14	0
ALCOHOL-DEHYDROG-RXN: ethanol dehydrogenase|unclassified	80.314	0
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: NO_NAME	27.117	0
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	27.117	0
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN: NO_NAME	42.357	0
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	26.51	0
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	2.979	0
ALDEHYDE-DEHYDROGENASE-NADORNOP+-RXN: NO_NAME|unclassified	12.867	0
ALDHDEHYDROG-RXN: NO_NAME	148.976	0
ALDHDEHYDROG-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	44.475	0
ALDHDEHYDROG-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	24.934	0
ALDHDEHYDROG-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	22.757	0
ALDHDEHYDROG-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.747	0
ALDHDEHYDROG-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	24.299	0
ALDHDEHYDROG-RXN: NO_NAME|unclassified	12.764	0
ALDOSE-1-EPIMERASE-RXN: NO_NAME	195.772	0
ALDOSE-1-EPIMERASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	195.772	0
ALDOSE1EPIM-RXN: D-galactose 1-epimerase	195.772	0
ALDOSE1EPIM-RXN: D-galactose 1-epimerase|g__Escherichia.s__Escherichia_coli	195.772	0
ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN: NO_NAME	33.581	0
ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	33.581	0
ALLANTOINASE-RXN: NO_NAME	85.302	0
ALLANTOINASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	61.887	0
ALLANTOINASE-RXN: NO_NAME|unclassified	23.415	0
ALLOSE-KINASE-RXN: NO_NAME	352.666	0
ALLOSE-KINASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	352.666	0
ALPHAGALACTOSID-RXN: &alpha;-galactosidase	27.186	0
ALPHAGALACTOSID-RXN: &alpha;-galactosidase|g__Escherichia.s__Escherichia_coli	15.16	0
ALPHAGALACTOSID-RXN: &alpha;-galactosidase|unclassified	12.026	0
ALTRO-OXIDOREDUCT-RXN: NO_NAME	37.166	0
ALTRO-OXIDOREDUCT-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	37.166	0
ALTRODEHYDRAT-RXN: NO_NAME	177.297	0
ALTRODEHYDRAT-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	167.346	0
ALTRODEHYDRAT-RXN: NO_NAME|unclassified	9.951	0
AMACETOXID-RXN: NO_NAME	21.185	0
AMACETOXID-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	11.766	0
AMACETOXID-RXN: NO_NAME|unclassified	9.419	0
AMINEOXID-RXN: Aliphatic-amine oxidase	21.185	0
AMINEOXID-RXN: Aliphatic-amine oxidase|g__Escherichia.s__Escherichia_coli	11.766	0
AMINEOXID-RXN: Aliphatic-amine oxidase|unclassified	9.419	0
AMINEPHEN-RXN: NO_NAME	21.185	0
AMINEPHEN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	11.766	0
AMINEPHEN-RXN: NO_NAME|unclassified	9.419	0
AMINOACYLASE-RXN: NO_NAME	34.551	0
AMINOACYLASE-RXN: NO_NAME|unclassified	34.551	0
AMINOBUTDEHYDROG-RXN: NO_NAME	911.746	0
AMINOBUTDEHYDROG-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	911.746	0
AMINOCYL-TRNA-HYDROLASE-RXN: NO_NAME	89.169	0
AMINOCYL-TRNA-HYDROLASE-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	43.267	0
AMINOCYL-TRNA-HYDROLASE-RXN: NO_NAME|unclassified	45.902	0
AMP-DEPHOSPHORYLATION-RXN: AMP-5'-nucleotidase	230.506	0
AMP-DEPHOSPHORYLATION-RXN: AMP-5'-nucleotidase|g__Escherichia.s__Escherichia_coli	185.132	0
AMP-DEPHOSPHORYLATION-RXN: AMP-5'-nucleotidase|unclassified	45.375	0
AMP-NUCLEOSID-RXN: NO_NAME	115.931	0
AMP-NUCLEOSID-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	12.841	0
AMP-NUCLEOSID-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.511	0
AMP-NUCLEOSID-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	20.144	0
AMP-NUCLEOSID-RXN: NO_NAME|unclassified	73.436	0
AMPSYN-RXN: NO_NAME	171.091	0
AMPSYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	51.72	0
AMPSYN-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.231	0
AMPSYN-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	32.887	0
AMPSYN-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	25.256	0
AMPSYN-RXN: NO_NAME|unclassified	54.996	0
AMYLOMALT-RXN: 4-&alpha;-glucanotransferase	7.058	0
AMYLOMALT-RXN: 4-&alpha;-glucanotransferase|unclassified	7.058	0
ANTHRANSYN-RXN: NO_NAME	107.326	0
ANTHRANSYN-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	33.148	0
ANTHRANSYN-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	34.629	0
ANTHRANSYN-RXN: NO_NAME|unclassified	39.549	0
AQUACOBALAMIN-REDUCTASE-RXN: NO_NAME	26.987	0
AQUACOBALAMIN-REDUCTASE-RXN: NO_NAME|unclassified	26.987	0
ARABISOM-RXN: NO_NAME	136.371	0
ARABISOM-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	68.886	0
ARABISOM-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	18.955	0
ARABISOM-RXN: NO_NAME|unclassified	48.53	0
ARGDECARBOX-RXN: NO_NAME	97.362	0
ARGDECARBOX-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	37.927	0
ARGDECARBOX-RXN: NO_NAME|unclassified	59.434	0
ARGININE--TRNA-LIGASE-RXN: NO_NAME	30.8	0
ARGININE--TRNA-LIGASE-RXN: NO_NAME|unclassified	30.8	0
ARGININE-DEIMINASE-RXN: NO_NAME	65.73	0
ARGININE-DEIMINASE-RXN: NO_NAME|unclassified	65.73	0
ARGSUCCINLYA-RXN: NO_NAME	141.602	0
ARGSUCCINLYA-RXN: NO_NAME|unclassified	141.602	0
ARGSUCCINSYN-RXN: NO_NAME	167.563	0
ARGSUCCINSYN-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	3.759	0
ARGSUCCINSYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	21.173	0
ARGSUCCINSYN-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	43.834	0
ARGSUCCINSYN-RXN: NO_NAME|unclassified	98.797	0
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN: NO_NAME	10.923	0
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	10.923	0
ARYLESTERASE-RXN: NO_NAME	61.445	0
ARYLESTERASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	61.445	0
ARYLFORMAMIDASE-RXN: NO_NAME	14.909	0
ARYLFORMAMIDASE-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.909	0
ARYLSULFAT-RXN: NO_NAME	25.289	0
ARYLSULFAT-RXN: NO_NAME|unclassified	25.289	0
ASNSYNA-RXN: NO_NAME	1005.816	0
ASNSYNA-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	1005.816	0
ASNSYNB-RXN: NO_NAME	63.488	0
ASNSYNB-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	22.648	0
ASNSYNB-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	10.812	0
ASNSYNB-RXN: NO_NAME|unclassified	30.028	0
ASPAMINOTRANS-RXN: NO_NAME	101.314	0
ASPAMINOTRANS-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	17.828	0
ASPAMINOTRANS-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	42.556	0
ASPAMINOTRANS-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.561	0
ASPAMINOTRANS-RXN: NO_NAME|unclassified	28.369	0
ASPARAGHYD-RXN: NO_NAME	12.21	0
ASPARAGHYD-RXN: NO_NAME|unclassified	12.21	0
ASPARAGINE--TRNA-LIGASE-RXN: NO_NAME	108.791	0
ASPARAGINE--TRNA-LIGASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	97.162	0
ASPARAGINE--TRNA-LIGASE-RXN: NO_NAME|unclassified	11.629	0
ASPARTASE-RXN: NO_NAME	223.503	0
ASPARTASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	134.135	0
ASPARTASE-RXN: NO_NAME|unclassified	89.368	0
ASPARTATE--TRNA-LIGASE-RXN: NO_NAME	33.713	0
ASPARTATE--TRNA-LIGASE-RXN: NO_NAME|unclassified	33.713	0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: NO_NAME	64.013	0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	4.186	0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	22.646	0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	24.778	0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	12.404	0
ASPARTATEKIN-RXN: NO_NAME	259.1	0
ASPARTATEKIN-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	8.27	0
ASPARTATEKIN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	132.251	0
ASPARTATEKIN-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	8.071	0
ASPARTATEKIN-RXN: NO_NAME|unclassified	110.508	0
ASPCARBTRANS-RXN: NO_NAME	53.287	0
ASPCARBTRANS-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	48.809	0
ASPCARBTRANS-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	4.478	0
ASPDECARBOX-RXN: NO_NAME	25.164	0
ASPDECARBOX-RXN: NO_NAME|unclassified	25.164	0
ATP-PYROPHOSPHATASE-RXN: NO_NAME	107.403	0
ATP-PYROPHOSPHATASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	11.027	0
ATP-PYROPHOSPHATASE-RXN: NO_NAME|unclassified	96.376	0
ATPPHOSPHORIBOSYLTRANS-RXN: NO_NAME	85.318	0
ATPPHOSPHORIBOSYLTRANS-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	27.801	0
ATPPHOSPHORIBOSYLTRANS-RXN: NO_NAME|unclassified	57.516	0
ATPSYN-RXN: NO_NAME	632.82	0
ATPSYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	486.561	0
ATPSYN-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	34.018	0
ATPSYN-RXN: NO_NAME|unclassified	112.241	0
BADH-RXN: NO_NAME	318.541	0
BADH-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	301.238	0
BADH-RXN: NO_NAME|unclassified	17.302	0
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN: NO_NAME	63.228	0
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN: NO_NAME|unclassified	63.228	0
BENZOATE-12-DIOXYGENASE-RXN: NO_NAME	29.486	0
BENZOATE-12-DIOXYGENASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	29.486	0
BETA-GLUCURONID-RXN: NO_NAME	99.8	0
BETA-GLUCURONID-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	78.047	0
BETA-GLUCURONID-RXN: NO_NAME|unclassified	21.753	0
BETA-LACTAMASE-RXN: NO_NAME	37.108	0
BETA-LACTAMASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	37.108	0
BETA-PHOSPHOGLUCOMUTASE-RXN: NO_NAME	17.459	0
BETA-PHOSPHOGLUCOMUTASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	17.459	0
BETAGALACTOSID-RXN: &beta;-galactosidase	265.969	0
BETAGALACTOSID-RXN: &beta;-galactosidase|g__Escherichia.s__Escherichia_coli	145.717	0
BETAGALACTOSID-RXN: &beta;-galactosidase|unclassified	120.252	0
BIOTIN-CARBOXYL-RXN: NO_NAME	107.698	0
BIOTIN-CARBOXYL-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	42.978	0
BIOTIN-CARBOXYL-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	54.814	0
BIOTIN-CARBOXYL-RXN: NO_NAME|unclassified	9.906	0
BIOTINLIG-RXN: NO_NAME	88.717	0
BIOTINLIG-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	88.717	0
BRANCHED-CHAINAMINOTRANSFERILEU-RXN: Isoleucine transaminase	246.087	0
BRANCHED-CHAINAMINOTRANSFERILEU-RXN: Isoleucine transaminase|g__Escherichia.s__Escherichia_coli	224.054	0
BRANCHED-CHAINAMINOTRANSFERILEU-RXN: Isoleucine transaminase|unclassified	22.033	0
BRANCHED-CHAINAMINOTRANSFERLEU-RXN: NO_NAME	246.087	0
BRANCHED-CHAINAMINOTRANSFERLEU-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	224.054	0
BRANCHED-CHAINAMINOTRANSFERLEU-RXN: NO_NAME|unclassified	22.033	0
BRANCHED-CHAINAMINOTRANSFERVAL-RXN: Valine transaminase	246.087	0
BRANCHED-CHAINAMINOTRANSFERVAL-RXN: Valine transaminase|g__Escherichia.s__Escherichia_coli	224.054	0
BRANCHED-CHAINAMINOTRANSFERVAL-RXN: Valine transaminase|unclassified	22.033	0
BTUR2-RXN: NO_NAME	167.151	0
BTUR2-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	45.153	0
BTUR2-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	25.194	0
BTUR2-RXN: NO_NAME|unclassified	96.804	0
BUTYRYL-COA-DEHYDROGENASE-RXN: butanoyl-CoA dehydrogenase	23.846	0
BUTYRYL-COA-DEHYDROGENASE-RXN: butanoyl-CoA dehydrogenase|unclassified	23.846	0
CARBAMATE-KINASE-RXN: NO_NAME	356.298	0
CARBAMATE-KINASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	166.296	0
CARBAMATE-KINASE-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	21.169	0
CARBAMATE-KINASE-RXN: NO_NAME|unclassified	168.832	0
CARBODEHYDRAT-RXN: NO_NAME	80.823	0
CARBODEHYDRAT-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	72.814	0
CARBODEHYDRAT-RXN: NO_NAME|unclassified	8.009	0
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN: 2-hydroxyhepta-2,4-dienedioate carboxylase	40.829	0
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN: 2-hydroxyhepta-2,4-dienedioate carboxylase|g__Escherichia.s__Escherichia_coli	40.829	0
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN: NO_NAME	30.301	0
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	30.301	0
CARBOXYLATE-REDUCTASE-RXN: NO_NAME	30.644	0
CARBOXYLATE-REDUCTASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	11.825	0
CARBOXYLATE-REDUCTASE-RXN: NO_NAME|unclassified	18.82	0
CARBOXYLESTERASE-RXN: NO_NAME	3.913	0
CARBOXYLESTERASE-RXN: NO_NAME|unclassified	3.913	0
CARBOXYMETHYLENEBUTENOLIDASE-RXN: NO_NAME	59.597	0
CARBOXYMETHYLENEBUTENOLIDASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	59.597	0
CARBPSYN-RXN: NO_NAME	496.745	0
CARBPSYN-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	27.653	0
CARBPSYN-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	93.024	0
CARBPSYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	191.28	0
CARBPSYN-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	17.507	0
CARBPSYN-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	19.472	0
CARBPSYN-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	50.825	0
CARBPSYN-RXN: NO_NAME|unclassified	96.984	0
CATAL-RXN: NO_NAME	205.032	0
CATAL-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	3.42	0
CATAL-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	19.823	0
CATAL-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	39.662	0
CATAL-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	72.27	0
CATAL-RXN: NO_NAME|unclassified	69.858	0
CATECHOL-12-DIOXYGENASE-RXN: NO_NAME	23.282	0
CATECHOL-12-DIOXYGENASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	23.282	0
CDP-GLUCOSE-46-DEHYDRATASE-RXN: NO_NAME	14.116	0
CDP-GLUCOSE-46-DEHYDRATASE-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	14.116	0
CDPDIGLYPYPHOSPHA-RXN: NO_NAME	51.896	0
CDPDIGLYPYPHOSPHA-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	51.896	0
CDPDIGLYSYN-RXN: NO_NAME	52.874	0
CDPDIGLYSYN-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	21.108	0
CDPDIGLYSYN-RXN: NO_NAME|unclassified	31.766	0
CDPKIN-RXN: NO_NAME	149.707	0
CDPKIN-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	102.066	0
CDPKIN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	47.641	0
CDPREDUCT-RXN: NO_NAME	392.504	0
CDPREDUCT-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	4.558	0
CDPREDUCT-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	164.61	0
CDPREDUCT-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	148.06	0
CDPREDUCT-RXN: NO_NAME|unclassified	75.276	0
CELLULOSE-SYNTHASE-UDP-FORMING-RXN: NO_NAME	63.119	0
CELLULOSE-SYNTHASE-UDP-FORMING-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	24.532	0
CELLULOSE-SYNTHASE-UDP-FORMING-RXN: NO_NAME|unclassified	38.587	0
CHD-RXN: NO_NAME	31.56	0
CHD-RXN: NO_NAME|unclassified	31.56	0
CHEBDEAMID-RXN: NO_NAME	125.543	0
CHEBDEAMID-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	89.261	0
CHEBDEAMID-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	28.717	0
CHEBDEAMID-RXN: NO_NAME|unclassified	7.564	0
CHER-RXN: NO_NAME	32.04	0
CHER-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	16.977	0
CHER-RXN: NO_NAME|unclassified	15.063	0
CHMS-DEHYDROGENASE-RXN: NO_NAME	90.468	0
CHMS-DEHYDROGENASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	90.468	0
CHOLINE-SULFATASE-RXN: NO_NAME	40.35	0
CHOLINE-SULFATASE-RXN: NO_NAME|unclassified	40.35	0
CHORISMATE-SYNTHASE-RXN: NO_NAME	321.668	0
CHORISMATE-SYNTHASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	43.231	0
CHORISMATE-SYNTHASE-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	248.786	0
CHORISMATE-SYNTHASE-RXN: NO_NAME|unclassified	29.651	0
CHORPYRLY-RXN: NO_NAME	18.887	0
CHORPYRLY-RXN: NO_NAME|unclassified	18.887	0
CITC-RXN: NO_NAME	7.775	0
CITC-RXN: NO_NAME|unclassified	7.775	0
CITLY-RXN: NO_NAME	79.72	0
CITLY-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	79.72	0
CITSYN-RXN: NO_NAME	49.272	0
CITSYN-RXN: NO_NAME|unclassified	49.272	0
CITTRANS-RXN: citrate CoA-transferase	13.377	0
CITTRANS-RXN: citrate CoA-transferase|g__Escherichia.s__Escherichia_coli	13.377	0
COA-DISULFIDE-REDUCTASE-NADH-RXN: NO_NAME	24.125	0
COA-DISULFIDE-REDUCTASE-NADH-RXN: NO_NAME|unclassified	24.125	0
COBALADENOSYLTRANS-RXN: Cob(I)alamin adenosyltransferase	167.151	0
COBALADENOSYLTRANS-RXN: Cob(I)alamin adenosyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	45.153	0
COBALADENOSYLTRANS-RXN: Cob(I)alamin adenosyltransferase|g__Escherichia.s__Escherichia_coli	25.194	0
COBALADENOSYLTRANS-RXN: Cob(I)alamin adenosyltransferase|unclassified	96.804	0
COBALAMIN5PSYN-RXN: NO_NAME	72.224	0
COBALAMIN5PSYN-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	28.065	0
COBALAMIN5PSYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	44.159	0
COBALAMINSYN-RXN: NO_NAME	72.224	0
COBALAMINSYN-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	28.065	0
COBALAMINSYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	44.159	0
COBINAMIDEKIN-RXN: NO_NAME	458.287	0
COBINAMIDEKIN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	422.1	0
COBINAMIDEKIN-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	36.187	0
COBINPGUANYLYLTRANS-RXN: NO_NAME	458.287	0
COBINPGUANYLYLTRANS-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	422.1	0
COBINPGUANYLYLTRANS-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	36.187	0
CPM-KDOSYNTH-RXN: NO_NAME	110.035	0
CPM-KDOSYNTH-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	49.329	0
CPM-KDOSYNTH-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	32.991	0
CPM-KDOSYNTH-RXN: NO_NAME|unclassified	27.714	0
CTPSYN-RXN: NO_NAME	55.098	0
CTPSYN-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	3.236	0
CTPSYN-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	12.227	0
CTPSYN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	19.657	0
CTPSYN-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	5.058	0
CTPSYN-RXN: NO_NAME|unclassified	14.92	0
CYCPHOSDIESTER-RXN: NO_NAME	43.66	0
CYCPHOSDIESTER-RXN: NO_NAME|unclassified	43.66	0
CYSTATHIONINE-BETA-LYASE-RXN: NO_NAME	59.368	0
CYSTATHIONINE-BETA-LYASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	19.168	0
CYSTATHIONINE-BETA-LYASE-RXN: NO_NAME|unclassified	40.2	0
CYSTATHIONINE-BETA-SYNTHASE-RXN: NO_NAME	31.407	0
CYSTATHIONINE-BETA-SYNTHASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	31.407	0
CYSTEINE--TRNA-LIGASE-RXN: NO_NAME	63.221	0
CYSTEINE--TRNA-LIGASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	22.677	0
CYSTEINE--TRNA-LIGASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	40.544	0
CYTDEAM-RXN: NO_NAME	54.975	0
CYTDEAM-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	21.524	0
CYTDEAM-RXN: NO_NAME|unclassified	33.451	0
CYTIDINEKIN-RXN: NO_NAME	118.475	0
CYTIDINEKIN-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	104.123	0
CYTIDINEKIN-RXN: NO_NAME|unclassified	14.352	0
CYTIKIN-RXN: NO_NAME	118.475	0
CYTIKIN-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	104.123	0
CYTIKIN-RXN: NO_NAME|unclassified	14.352	0
CYTOCHROME-C-OXIDASE-RXN: NO_NAME	196.48	0
CYTOCHROME-C-OXIDASE-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	6.564	0
CYTOCHROME-C-OXIDASE-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	116.68	0
CYTOCHROME-C-OXIDASE-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.739	0
CYTOCHROME-C-OXIDASE-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	2.821	0
CYTOCHROME-C-OXIDASE-RXN: NO_NAME|unclassified	55.675	0
CYTOCHROME-C-PEROXIDASE-RXN: NO_NAME	34.909	0
CYTOCHROME-C-PEROXIDASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	34.909	0
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN: NO_NAME	20.083	0
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	20.083	0
D-PPENTOMUT-RXN: D-deoxyribose 1,5-phosphomutase	136.696	0
D-PPENTOMUT-RXN: D-deoxyribose 1,5-phosphomutase|g__Escherichia.s__Escherichia_coli	103.189	0
D-PPENTOMUT-RXN: D-deoxyribose 1,5-phosphomutase|unclassified	33.507	0
D-RIBULOKIN-RXN: NO_NAME	32.959	0
D-RIBULOKIN-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	32.959	0
D-THREO-ALDOSE-1-DEHYDROGENASE-RXN: NO_NAME	31.187	0
D-THREO-ALDOSE-1-DEHYDROGENASE-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	31.187	0
D-XYLULOSE-REDUCTASE-RXN: NO_NAME	54.829	0
D-XYLULOSE-REDUCTASE-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	54.829	0
