# Gene Family	SRS1007613.level4ec	tiny-test-data-mt.level4ec
1.7.5.1: Nitrate reductase (quinone)|g__Chromobacterium.s__Chromobacterium_violaceum	25.99	0
1.7.5.1: Nitrate reductase (quinone)|g__Corynebacterium.s__Corynebacterium_glutamicum	2.819	0
1.7.5.1: Nitrate reductase (quinone)|g__Escherichia.s__Escherichia_coli	33.644	0
1.7.5.1: Nitrate reductase (quinone)|g__Roseobacter.s__Roseobacter_denitrificans	9.18	0
1.7.5.1: Nitrate reductase (quinone)|g__Staphylococcus.s__Staphylococcus_epidermidis	6.37	0
1.7.99.1: Hydroxylamine reductase	82.609	0
1.7.99.1: Hydroxylamine reductase|g__Escherichia.s__Escherichia_coli	65.837	0
1.7.99.1: Hydroxylamine reductase|g__Roseobacter.s__Roseobacter_denitrificans	16.773	0
1.7.99.4: Nitrate reductase	802.903	0
1.7.99.4: Nitrate reductase|g__Escherichia.s__Escherichia_coli	430.829	0
1.7.99.4: Nitrate reductase|unclassified	372.074	0
1.8.1.14: CoA-disulfide reductase	24.125	0
1.8.1.14: CoA-disulfide reductase|unclassified	24.125	0
1.8.1.2: Assimilatory sulfite reductase (NADPH)	47.584	0
1.8.1.2: Assimilatory sulfite reductase (NADPH)|g__Escherichia.s__Escherichia_coli	14.13	0
1.8.1.2: Assimilatory sulfite reductase (NADPH)|unclassified	33.454	0
1.8.1.4: Dihydrolipoyl dehydrogenase	133.994	0
1.8.1.4: Dihydrolipoyl dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	12.535	0
1.8.1.4: Dihydrolipoyl dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	50.33	0
1.8.1.4: Dihydrolipoyl dehydrogenase|g__Escherichia.s__Escherichia_coli	27.843	0
1.8.1.4: Dihydrolipoyl dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.846	0
1.8.1.4: Dihydrolipoyl dehydrogenase|unclassified	12.439	0
1.8.1.7: Glutathione-disulfide reductase	14.319	0
1.8.1.7: Glutathione-disulfide reductase|g__Escherichia.s__Escherichia_coli	14.319	0
1.8.1.8: Protein-disulfide reductase	2334.952	0
1.8.1.8: Protein-disulfide reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	323.226	0
1.8.1.8: Protein-disulfide reductase|g__Escherichia.s__Escherichia_coli	2011.726	0
1.8.1.9: Thioredoxin-disulfide reductase	116.365	0
1.8.1.9: Thioredoxin-disulfide reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	33.813	0
1.8.1.9: Thioredoxin-disulfide reductase|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.184	0
1.8.1.9: Thioredoxin-disulfide reductase|unclassified	69.368	0
1.8.4.11: Peptide-methionine (S)-S-oxide reductase	74.953	0
1.8.4.11: Peptide-methionine (S)-S-oxide reductase|g__Polaromonas.s__Polaromonas_naphthalenivorans	50.152	0
1.8.4.11: Peptide-methionine (S)-S-oxide reductase|unclassified	24.801	0
1.8.4.12: Peptide-methionine (R)-S-oxide reductase	35.305	0
1.8.4.12: Peptide-methionine (R)-S-oxide reductase|unclassified	35.305	0
1.8.4.14: L-methionine (R)-S-oxide reductase	69.835	0
1.8.4.14: L-methionine (R)-S-oxide reductase|g__Escherichia.s__Escherichia_coli	69.835	0
1.8.4.8: Phosphoadenylyl-sulfate reductase (thioredoxin)	91.426	0
1.8.4.8: Phosphoadenylyl-sulfate reductase (thioredoxin)|g__Chromobacterium.s__Chromobacterium_violaceum	26.813	0
1.8.4.8: Phosphoadenylyl-sulfate reductase (thioredoxin)|g__Corynebacterium.s__Corynebacterium_glutamicum	29.231	0
1.8.4.8: Phosphoadenylyl-sulfate reductase (thioredoxin)|g__Escherichia.s__Escherichia_coli	35.383	0
1.8.5.3: Dimethylsulfoxide reductase	137.034	0
1.8.5.3: Dimethylsulfoxide reductase|unclassified	137.034	0
1.8.5.7: NO_NAME	51.276	0
1.8.5.7: NO_NAME|g__Escherichia.s__Escherichia_coli	21.062	0
1.8.5.7: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	16.536	0
1.8.5.7: NO_NAME|unclassified	13.678	0
1.9.3.1: Cytochrome-c oxidase	196.48	0
1.9.3.1: Cytochrome-c oxidase|g__Chromobacterium.s__Chromobacterium_violaceum	6.564	0
1.9.3.1: Cytochrome-c oxidase|g__Corynebacterium.s__Corynebacterium_glutamicum	116.68	0
1.9.3.1: Cytochrome-c oxidase|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.739	0
1.9.3.1: Cytochrome-c oxidase|g__Roseobacter.s__Roseobacter_denitrificans	2.821	0
1.9.3.1: Cytochrome-c oxidase|unclassified	55.675	0
1.97.1.12: Photosystem I	8.276	0
1.97.1.12: Photosystem I|unclassified	8.276	0
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme	155.108	0
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme|g__Chromobacterium.s__Chromobacterium_violaceum	38.869	0
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme|g__Escherichia.s__Escherichia_coli	84.303	0
1.97.1.4: [Formate-C-acetyltransferase]-activating enzyme|unclassified	31.937	0
2.1.1.107: Uroporphyrinogen-III C-methyltransferase	101.61	0
2.1.1.107: Uroporphyrinogen-III C-methyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	80.087	0
2.1.1.107: Uroporphyrinogen-III C-methyltransferase|unclassified	21.522	0
2.1.1.10: Homocysteine S-methyltransferase	64.025	0
2.1.1.10: Homocysteine S-methyltransferase|g__Escherichia.s__Escherichia_coli	64.025	0
2.1.1.130: Precorrin-2 C(20)-methyltransferase	16.901	0
2.1.1.130: Precorrin-2 C(20)-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.901	0
2.1.1.133: Precorrin-4 C(11)-methyltransferase	22.536	0
2.1.1.133: Precorrin-4 C(11)-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	22.536	0
2.1.1.13: Methionine synthase	102.936	0
2.1.1.13: Methionine synthase|g__Chromobacterium.s__Chromobacterium_violaceum	17.048	0
2.1.1.13: Methionine synthase|g__Escherichia.s__Escherichia_coli	10.575	0
2.1.1.13: Methionine synthase|unclassified	75.314	0
2.1.1.144: Trans-aconitate 2-methyltransferase	23.143	0
2.1.1.144: Trans-aconitate 2-methyltransferase|g__Escherichia.s__Escherichia_coli	23.143	0
2.1.1.148: Thymidylate synthase (FAD)	16.496	0
2.1.1.148: Thymidylate synthase (FAD)|g__Corynebacterium.s__Corynebacterium_glutamicum	16.496	0
2.1.1.14: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	126.734	0
2.1.1.14: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase|unclassified	126.734	0
2.1.1.163: Demethylmenaquinone methyltransferase	298.434	0
2.1.1.163: Demethylmenaquinone methyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	36.837	0
2.1.1.163: Demethylmenaquinone methyltransferase|g__Escherichia.s__Escherichia_coli	246.287	0
2.1.1.163: Demethylmenaquinone methyltransferase|unclassified	15.31	0
2.1.1.166: 23S rRNA (uridine(2552)-2'-O)-methyltransferase	46.182	0
2.1.1.166: 23S rRNA (uridine(2552)-2'-O)-methyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	16.253	0
2.1.1.166: 23S rRNA (uridine(2552)-2'-O)-methyltransferase|unclassified	29.929	0
2.1.1.171: 16S rRNA (guanine(966)-N(2))-methyltransferase	88.125	0
2.1.1.171: 16S rRNA (guanine(966)-N(2))-methyltransferase|g__Escherichia.s__Escherichia_coli	73.047	0
2.1.1.171: 16S rRNA (guanine(966)-N(2))-methyltransferase|unclassified	15.078	0
2.1.1.172: 16S rRNA (guanine(1207)-N(2))-methyltransferase	42.619	0
2.1.1.172: 16S rRNA (guanine(1207)-N(2))-methyltransferase|g__Escherichia.s__Escherichia_coli	27.541	0
2.1.1.172: 16S rRNA (guanine(1207)-N(2))-methyltransferase|unclassified	15.078	0
2.1.1.173: 23S rRNA (guanine(2445)-N(2))-methyltransferase	14.922	0
2.1.1.173: 23S rRNA (guanine(2445)-N(2))-methyltransferase|unclassified	14.922	0
2.1.1.174: 23S rRNA (guanine(1835)-N(2))-methyltransferase	100.183	0
2.1.1.174: 23S rRNA (guanine(1835)-N(2))-methyltransferase|g__Escherichia.s__Escherichia_coli	59.712	0
2.1.1.174: 23S rRNA (guanine(1835)-N(2))-methyltransferase|unclassified	40.472	0
2.1.1.176: 16S rRNA (cytosine(967)-C(5))-methyltransferase	177.604	0
2.1.1.176: 16S rRNA (cytosine(967)-C(5))-methyltransferase|g__Escherichia.s__Escherichia_coli	56.373	0
2.1.1.176: 16S rRNA (cytosine(967)-C(5))-methyltransferase|unclassified	121.23	0
2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase	72.346	0
2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	27.402	0
2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	38.646	0
2.1.1.177: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase|unclassified	6.298	0
2.1.1.181: 23S rRNA (adenine(1618)-N(6))-methyltransferase	65.761	0
2.1.1.181: 23S rRNA (adenine(1618)-N(6))-methyltransferase|unclassified	65.761	0
2.1.1.182: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	125.79	0
2.1.1.182: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	45.794	0
2.1.1.182: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase|g__Escherichia.s__Escherichia_coli	57.633	0
2.1.1.182: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase|unclassified	22.363	0
2.1.1.185: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase	368.643	0
2.1.1.185: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	120.285	0
2.1.1.185: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase|g__Escherichia.s__Escherichia_coli	236.582	0
2.1.1.185: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.777	0
2.1.1.186: 23S rRNA (cytidine(2498)-2'-O)-methyltransferase	14.612	0
2.1.1.186: 23S rRNA (cytidine(2498)-2'-O)-methyltransferase|unclassified	14.612	0
2.1.1.187: 23S rRNA (guanine(745)-N(1))-methyltransferase	147.374	0
2.1.1.187: 23S rRNA (guanine(745)-N(1))-methyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	35.316	0
2.1.1.187: 23S rRNA (guanine(745)-N(1))-methyltransferase|g__Escherichia.s__Escherichia_coli	112.058	0
2.1.1.189: 23S rRNA (uracil(747)-C(5))-methyltransferase	72.374	0
2.1.1.189: 23S rRNA (uracil(747)-C(5))-methyltransferase|g__Escherichia.s__Escherichia_coli	72.374	0
2.1.1.190: 23S rRNA (uracil(1939)-C(5))-methyltransferase	111.451	0
2.1.1.190: 23S rRNA (uracil(1939)-C(5))-methyltransferase|g__Escherichia.s__Escherichia_coli	101.131	0
2.1.1.190: 23S rRNA (uracil(1939)-C(5))-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.32	0
2.1.1.191: 23S rRNA (cytosine(1962)-C(5))-methyltransferase	247.784	0
2.1.1.191: 23S rRNA (cytosine(1962)-C(5))-methyltransferase|g__Escherichia.s__Escherichia_coli	173.926	0
2.1.1.191: 23S rRNA (cytosine(1962)-C(5))-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	50.133	0
2.1.1.191: 23S rRNA (cytosine(1962)-C(5))-methyltransferase|unclassified	23.725	0
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase	61.733	0
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	21.375	0
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase|g__Escherichia.s__Escherichia_coli	40.358	0
2.1.1.193: 16S rRNA (uracil(1498)-N(3))-methyltransferase	87.97	0
2.1.1.193: 16S rRNA (uracil(1498)-N(3))-methyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	87.97	0
2.1.1.197: Malonyl-[acyl-carrier protein] O-methyltransferase	51.856	0
2.1.1.197: Malonyl-[acyl-carrier protein] O-methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	18.865	0
2.1.1.197: Malonyl-[acyl-carrier protein] O-methyltransferase|g__Escherichia.s__Escherichia_coli	32.99	0
2.1.1.198: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase	9.388	0
2.1.1.198: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.388	0
2.1.1.201: 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	27.446	0
2.1.1.201: 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase|g__Escherichia.s__Escherichia_coli	12.136	0
2.1.1.201: 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase|unclassified	15.31	0
2.1.1.207: tRNA (cytidine(34)-2'-O)-methyltransferase	18.429	0
2.1.1.207: tRNA (cytidine(34)-2'-O)-methyltransferase|g__Staphylococcus.s__Staphylococcus_epidermidis	18.429	0
2.1.1.220: tRNA (adenine(58)-N(1))-methyltransferase	17.878	0
2.1.1.220: tRNA (adenine(58)-N(1))-methyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	17.878	0
2.1.1.222: 2-polyprenyl-6-hydroxyphenol methylase	64.767	0
2.1.1.222: 2-polyprenyl-6-hydroxyphenol methylase|g__Chromobacterium.s__Chromobacterium_violaceum	19.382	0
2.1.1.222: 2-polyprenyl-6-hydroxyphenol methylase|g__Escherichia.s__Escherichia_coli	7.744	0
2.1.1.222: 2-polyprenyl-6-hydroxyphenol methylase|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.334	0
2.1.1.222: 2-polyprenyl-6-hydroxyphenol methylase|g__Roseobacter.s__Roseobacter_denitrificans	18.306	0
2.1.1.223: tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase	31.244	0
2.1.1.223: tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase|g__Escherichia.s__Escherichia_coli	31.244	0
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase	126.547	0
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	24.08	0
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	14.254	0
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase|g__Escherichia.s__Escherichia_coli	62.197	0
2.1.1.228: tRNA (guanine(37)-N(1))-methyltransferase|unclassified	26.016	0
2.1.1.242: 16S rRNA (guanine(1516)-N(2))-methyltransferase	7.07	0
2.1.1.242: 16S rRNA (guanine(1516)-N(2))-methyltransferase|unclassified	7.07	0
2.1.1.266: 23S rRNA (adenine(2030)-N(6))-methyltransferase	52.893	0
2.1.1.266: 23S rRNA (adenine(2030)-N(6))-methyltransferase|g__Escherichia.s__Escherichia_coli	18.397	0
2.1.1.266: 23S rRNA (adenine(2030)-N(6))-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	34.496	0
2.1.1.297: Peptide chain release factor N(5)-glutamine methyltransferase	47.294	0
2.1.1.297: Peptide chain release factor N(5)-glutamine methyltransferase|unclassified	47.294	0
2.1.1.33: tRNA (guanine(46)-N(7))-methyltransferase	88.635	0
2.1.1.33: tRNA (guanine(46)-N(7))-methyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	44.407	0
2.1.1.33: tRNA (guanine(46)-N(7))-methyltransferase|unclassified	44.229	0
2.1.1.34: tRNA (guanosine(18)-2'-O)-methyltransferase	95.822	0
2.1.1.34: tRNA (guanosine(18)-2'-O)-methyltransferase|g__Escherichia.s__Escherichia_coli	79.976	0
2.1.1.34: tRNA (guanosine(18)-2'-O)-methyltransferase|unclassified	15.847	0
2.1.1.35: tRNA (uracil(54)-C(5))-methyltransferase	20.148	0
2.1.1.35: tRNA (uracil(54)-C(5))-methyltransferase|g__Escherichia.s__Escherichia_coli	11.991	0
2.1.1.35: tRNA (uracil(54)-C(5))-methyltransferase|unclassified	8.157	0
2.1.1.37: DNA (cytosine-5-)-methyltransferase	212.346	0
2.1.1.37: DNA (cytosine-5-)-methyltransferase|g__Escherichia.s__Escherichia_coli	201.595	0
2.1.1.37: DNA (cytosine-5-)-methyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	10.751	0
2.1.1.45: Thymidylate synthase	37.837	0
2.1.1.45: Thymidylate synthase|g__Escherichia.s__Escherichia_coli	12.882	0
2.1.1.45: Thymidylate synthase|g__Roseobacter.s__Roseobacter_denitrificans	7.775	0
2.1.1.45: Thymidylate synthase|unclassified	17.18	0
2.1.1.61: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	16.613	0
2.1.1.61: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase|unclassified	16.613	0
2.1.1.63: Methylated-DNA--[protein]-cysteine S-methyltransferase	93.47	0
2.1.1.63: Methylated-DNA--[protein]-cysteine S-methyltransferase|g__Escherichia.s__Escherichia_coli	78.16	0
2.1.1.63: Methylated-DNA--[protein]-cysteine S-methyltransferase|unclassified	15.31	0
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase	69.679	0
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	19.382	0
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase|g__Escherichia.s__Escherichia_coli	7.744	0
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.334	0
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	18.306	0
2.1.1.64: 3-demethylubiquinol 3-O-methyltransferase|unclassified	4.912	0
2.1.1.72: Site-specific DNA-methyltransferase (adenine-specific)	22.035	0
2.1.1.72: Site-specific DNA-methyltransferase (adenine-specific)|g__Escherichia.s__Escherichia_coli	22.035	0
2.1.1.77: Protein-L-isoaspartate(D-aspartate) O-methyltransferase	176.464	0
2.1.1.77: Protein-L-isoaspartate(D-aspartate) O-methyltransferase|g__Escherichia.s__Escherichia_coli	138.712	0
2.1.1.77: Protein-L-isoaspartate(D-aspartate) O-methyltransferase|unclassified	37.752	0
2.1.1.79: Cyclopropane-fatty-acyl-phospholipid synthase	55.029	0
2.1.1.79: Cyclopropane-fatty-acyl-phospholipid synthase|g__Chromobacterium.s__Chromobacterium_violaceum	14.761	0
2.1.1.79: Cyclopropane-fatty-acyl-phospholipid synthase|unclassified	40.268	0
2.1.1.80: Protein-glutamate O-methyltransferase	32.04	0
2.1.1.80: Protein-glutamate O-methyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	16.977	0
2.1.1.80: Protein-glutamate O-methyltransferase|unclassified	15.063	0
2.1.2.10: Aminomethyltransferase	69.726	0
2.1.2.10: Aminomethyltransferase|g__Escherichia.s__Escherichia_coli	26.394	0
2.1.2.10: Aminomethyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	34.916	0
2.1.2.10: Aminomethyltransferase|unclassified	8.416	0
2.1.2.13: UDP-4-amino-4-deoxy-L-arabinose formyltransferase	93.544	0
2.1.2.13: UDP-4-amino-4-deoxy-L-arabinose formyltransferase|g__Escherichia.s__Escherichia_coli	93.544	0
2.1.2.1: Glycine hydroxymethyltransferase	128.763	0
2.1.2.1: Glycine hydroxymethyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	13.051	0
2.1.2.1: Glycine hydroxymethyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	4.199	0
2.1.2.1: Glycine hydroxymethyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	4.728	0
2.1.2.1: Glycine hydroxymethyltransferase|unclassified	106.785	0
2.1.2.2: Phosphoribosylglycinamide formyltransferase	125.155	0
2.1.2.2: Phosphoribosylglycinamide formyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	20.003	0
2.1.2.2: Phosphoribosylglycinamide formyltransferase|g__Escherichia.s__Escherichia_coli	89.673	0
2.1.2.2: Phosphoribosylglycinamide formyltransferase|g__Staphylococcus.s__Staphylococcus_epidermidis	7.882	0
2.1.2.2: Phosphoribosylglycinamide formyltransferase|unclassified	7.597	0
2.1.2.3: Phosphoribosylaminoimidazolecarboxamide formyltransferase	65.535	0
2.1.2.3: Phosphoribosylaminoimidazolecarboxamide formyltransferase|g__Escherichia.s__Escherichia_coli	37.202	0
2.1.2.3: Phosphoribosylaminoimidazolecarboxamide formyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	28.334	0
2.1.2.9: Methionyl-tRNA formyltransferase	83.8	0
2.1.2.9: Methionyl-tRNA formyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	26.45	0
2.1.2.9: Methionyl-tRNA formyltransferase|g__Escherichia.s__Escherichia_coli	18.776	0
2.1.2.9: Methionyl-tRNA formyltransferase|unclassified	38.575	0
2.1.3.15: NO_NAME	124.867	0
2.1.3.15: NO_NAME|g__Escherichia.s__Escherichia_coli	115.647	0
2.1.3.15: NO_NAME|unclassified	9.22	0
2.1.3.1: Methylmalonyl-CoA carboxytransferase	7.961	0
2.1.3.1: Methylmalonyl-CoA carboxytransferase|unclassified	7.961	0
2.1.3.2: Aspartate carbamoyltransferase	53.287	0
2.1.3.2: Aspartate carbamoyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	48.809	0
2.1.3.2: Aspartate carbamoyltransferase|g__Escherichia.s__Escherichia_coli	4.478	0
2.1.3.3: Ornithine carbamoyltransferase	50.058	0
2.1.3.3: Ornithine carbamoyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	27.89	0
2.1.3.3: Ornithine carbamoyltransferase|g__Escherichia.s__Escherichia_coli	11.712	0
2.1.3.3: Ornithine carbamoyltransferase|g__Staphylococcus.s__Staphylococcus_epidermidis	10.457	0
2.10.1.1: Molybdopterin molybdotransferase	204.997	0
2.10.1.1: Molybdopterin molybdotransferase|g__Escherichia.s__Escherichia_coli	130.677	0
2.10.1.1: Molybdopterin molybdotransferase|unclassified	74.32	0
2.2.1.1: Transketolase	281.16	0
2.2.1.1: Transketolase|g__Escherichia.s__Escherichia_coli	53.666	0
2.2.1.1: Transketolase|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.26	0
2.2.1.1: Transketolase|unclassified	220.234	0
2.2.1.2: Transaldolase	309.627	0
2.2.1.2: Transaldolase|g__Chromobacterium.s__Chromobacterium_violaceum	44.584	0
2.2.1.2: Transaldolase|g__Escherichia.s__Escherichia_coli	45.073	0
2.2.1.2: Transaldolase|g__Polaromonas.s__Polaromonas_naphthalenivorans	33.28	0
2.2.1.2: Transaldolase|g__Roseobacter.s__Roseobacter_denitrificans	59.128	0
2.2.1.2: Transaldolase|unclassified	127.562	0
2.2.1.6: Acetolactate synthase	1430.208	0
2.2.1.6: Acetolactate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	28.087	0
2.2.1.6: Acetolactate synthase|g__Corynebacterium.s__Corynebacterium_glutamicum	17.459	0
2.2.1.6: Acetolactate synthase|g__Escherichia.s__Escherichia_coli	1064.209	0
2.2.1.6: Acetolactate synthase|unclassified	320.453	0
2.2.1.7: 1-deoxy-D-xylulose-5-phosphate synthase	156.447	0
2.2.1.7: 1-deoxy-D-xylulose-5-phosphate synthase|g__Corynebacterium.s__Corynebacterium_glutamicum	43.526	0
2.2.1.7: 1-deoxy-D-xylulose-5-phosphate synthase|unclassified	112.922	0
2.2.1.9: synthase	45.45	0
2.2.1.9: synthase|unclassified	45.45	0
2.3.1.102: N(6)-hydroxylysine O-acetyltransferase	23.852	0
2.3.1.102: N(6)-hydroxylysine O-acetyltransferase|g__Escherichia.s__Escherichia_coli	23.852	0
2.3.1.117: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	88.435	0
2.3.1.117: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	25.042	0
2.3.1.117: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase|g__Escherichia.s__Escherichia_coli	24.571	0
2.3.1.117: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase|unclassified	38.821	0
2.3.1.118: N-hydroxyarylamine O-acetyltransferase	36.519	0
2.3.1.118: N-hydroxyarylamine O-acetyltransferase|g__Staphylococcus.s__Staphylococcus_epidermidis	36.519	0
2.3.1.129: Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	97.486	0
2.3.1.129: Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	59.392	0
2.3.1.129: Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase|g__Escherichia.s__Escherichia_coli	38.094	0
2.3.1.12: Dihydrolipoyllysine-residue acetyltransferase	12.758	0
2.3.1.12: Dihydrolipoyllysine-residue acetyltransferase|unclassified	12.758	0
2.3.1.157: Glucosamine-1-phosphate N-acetyltransferase	44.787	0
2.3.1.157: Glucosamine-1-phosphate N-acetyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	7.334	0
2.3.1.157: Glucosamine-1-phosphate N-acetyltransferase|g__Escherichia.s__Escherichia_coli	5.468	0
2.3.1.157: Glucosamine-1-phosphate N-acetyltransferase|unclassified	31.986	0
2.3.1.15: Glycerol-3-phosphate 1-O-acyltransferase	940.468	0
2.3.1.15: Glycerol-3-phosphate 1-O-acyltransferase|g__Escherichia.s__Escherichia_coli	861.021	0
2.3.1.15: Glycerol-3-phosphate 1-O-acyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	33.464	0
2.3.1.15: Glycerol-3-phosphate 1-O-acyltransferase|unclassified	45.983	0
2.3.1.16: Acetyl-CoA C-acyltransferase	75.006	0
2.3.1.16: Acetyl-CoA C-acyltransferase|g__Escherichia.s__Escherichia_coli	13.149	0
2.3.1.16: Acetyl-CoA C-acyltransferase|unclassified	61.857	0
2.3.1.174: 3-oxoadipyl-CoA thiolase	18.468	0
2.3.1.174: 3-oxoadipyl-CoA thiolase|g__Chromobacterium.s__Chromobacterium_violaceum	4.722	0
2.3.1.174: 3-oxoadipyl-CoA thiolase|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.746	0
2.3.1.179: Beta-ketoacyl-[acyl-carrier-protein] synthase II	29.981	0
2.3.1.179: Beta-ketoacyl-[acyl-carrier-protein] synthase II|g__Staphylococcus.s__Staphylococcus_epidermidis	12.824	0
2.3.1.179: Beta-ketoacyl-[acyl-carrier-protein] synthase II|unclassified	17.158	0
2.3.1.180: Beta-ketoacyl-[acyl-carrier-protein] synthase III	225.837	0
2.3.1.180: Beta-ketoacyl-[acyl-carrier-protein] synthase III|g__Chromobacterium.s__Chromobacterium_violaceum	29.354	0
2.3.1.180: Beta-ketoacyl-[acyl-carrier-protein] synthase III|g__Escherichia.s__Escherichia_coli	39.412	0
2.3.1.180: Beta-ketoacyl-[acyl-carrier-protein] synthase III|g__Polaromonas.s__Polaromonas_naphthalenivorans	50.226	0
