# Gene Family	SRS1007613.pfam	tiny-test-data-mt.pfam
PF00583: Acetyltransferase (GNAT) family	1499.116	0
PF00583: Acetyltransferase (GNAT) family|g__Chromobacterium.s__Chromobacterium_violaceum	1019.751	0
PF00583: Acetyltransferase (GNAT) family|g__Corynebacterium.s__Corynebacterium_glutamicum	42.741	0
PF00583: Acetyltransferase (GNAT) family|g__Escherichia.s__Escherichia_coli	354.755	0
PF00583: Acetyltransferase (GNAT) family|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.181	0
PF00583: Acetyltransferase (GNAT) family|g__Roseobacter.s__Roseobacter_denitrificans	27.643	0
PF00583: Acetyltransferase (GNAT) family|unclassified	38.045	0
PF00585: C-terminal regulatory domain of Threonine dehydratase	129.068	0
PF00585: C-terminal regulatory domain of Threonine dehydratase|g__Chromobacterium.s__Chromobacterium_violaceum	26.482	0
PF00585: C-terminal regulatory domain of Threonine dehydratase|g__Escherichia.s__Escherichia_coli	18.21	0
PF00585: C-terminal regulatory domain of Threonine dehydratase|g__Polaromonas.s__Polaromonas_naphthalenivorans	21.528	0
PF00585: C-terminal regulatory domain of Threonine dehydratase|unclassified	62.849	0
PF00586: AIR synthase related protein, N-terminal domain	232.239	0
PF00586: AIR synthase related protein, N-terminal domain|g__Corynebacterium.s__Corynebacterium_glutamicum	14.16	0
PF00586: AIR synthase related protein, N-terminal domain|g__Escherichia.s__Escherichia_coli	169.52	0
PF00586: AIR synthase related protein, N-terminal domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.751	0
PF00586: AIR synthase related protein, N-terminal domain|unclassified	33.808	0
PF00587: tRNA synthetase class II core domain (G, H, P, S and T)	244.011	0
PF00587: tRNA synthetase class II core domain (G, H, P, S and T)|g__Chromobacterium.s__Chromobacterium_violaceum	31.32	0
PF00587: tRNA synthetase class II core domain (G, H, P, S and T)|g__Corynebacterium.s__Corynebacterium_glutamicum	11.018	0
PF00587: tRNA synthetase class II core domain (G, H, P, S and T)|g__Staphylococcus.s__Staphylococcus_epidermidis	15.903	0
PF00587: tRNA synthetase class II core domain (G, H, P, S and T)|unclassified	185.77	0
PF00588: SpoU rRNA Methylase family	507.453	0
PF00588: SpoU rRNA Methylase family|g__Chromobacterium.s__Chromobacterium_violaceum	120.285	0
PF00588: SpoU rRNA Methylase family|g__Corynebacterium.s__Corynebacterium_glutamicum	15.098	0
PF00588: SpoU rRNA Methylase family|g__Escherichia.s__Escherichia_coli	331.439	0
PF00588: SpoU rRNA Methylase family|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.777	0
PF00588: SpoU rRNA Methylase family|unclassified	28.855	0
PF00589: Phage integrase family	1063.747	0
PF00589: Phage integrase family|g__Chromobacterium.s__Chromobacterium_violaceum	23.177	0
PF00589: Phage integrase family|g__Escherichia.s__Escherichia_coli	733.524	0
PF00589: Phage integrase family|g__Polaromonas.s__Polaromonas_naphthalenivorans	153.078	0
PF00589: Phage integrase family|g__Roseobacter.s__Roseobacter_denitrificans	13.93	0
PF00589: Phage integrase family|unclassified	140.038	0
PF00590: Tetrapyrrole (Corrin/Porphyrin) Methylases	295.294	0
PF00590: Tetrapyrrole (Corrin/Porphyrin) Methylases|g__Chromobacterium.s__Chromobacterium_violaceum	52.275	0
PF00590: Tetrapyrrole (Corrin/Porphyrin) Methylases|g__Corynebacterium.s__Corynebacterium_glutamicum	80.087	0
PF00590: Tetrapyrrole (Corrin/Porphyrin) Methylases|g__Escherichia.s__Escherichia_coli	92.584	0
PF00590: Tetrapyrrole (Corrin/Porphyrin) Methylases|g__Polaromonas.s__Polaromonas_naphthalenivorans	48.826	0
PF00590: Tetrapyrrole (Corrin/Porphyrin) Methylases|unclassified	21.522	0
PF00591: Glycosyl transferase family, a/b domain	53.817	0
PF00591: Glycosyl transferase family, a/b domain|g__Chromobacterium.s__Chromobacterium_violaceum	3.414	0
PF00591: Glycosyl transferase family, a/b domain|g__Escherichia.s__Escherichia_coli	20.032	0
PF00591: Glycosyl transferase family, a/b domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	17.058	0
PF00591: Glycosyl transferase family, a/b domain|unclassified	13.313	0
PF00593: TonB dependent receptor	413.131	0
PF00593: TonB dependent receptor|g__Chromobacterium.s__Chromobacterium_violaceum	46.538	0
PF00593: TonB dependent receptor|g__Escherichia.s__Escherichia_coli	194.12	0
PF00593: TonB dependent receptor|unclassified	172.472	0
PF00595: PDZ domain	118.503	0
PF00595: PDZ domain|g__Escherichia.s__Escherichia_coli	69.04	0
PF00595: PDZ domain|g__Staphylococcus.s__Staphylococcus_epidermidis	25.517	0
PF00595: PDZ domain|unclassified	23.947	0
PF00596: Class II Aldolase and Adducin N-terminal domain	2365.253	0
PF00596: Class II Aldolase and Adducin N-terminal domain|g__Escherichia.s__Escherichia_coli	2217.072	0
PF00596: Class II Aldolase and Adducin N-terminal domain|g__Roseobacter.s__Roseobacter_denitrificans	18.873	0
PF00596: Class II Aldolase and Adducin N-terminal domain|g__Staphylococcus.s__Staphylococcus_epidermidis	101.325	0
PF00596: Class II Aldolase and Adducin N-terminal domain|unclassified	27.983	0
PF00623: RNA polymerase Rpb1, domain 2	75.946	0
PF00623: RNA polymerase Rpb1, domain 2|g__Chromobacterium.s__Chromobacterium_violaceum	28.54	0
PF00623: RNA polymerase Rpb1, domain 2|g__Escherichia.s__Escherichia_coli	40.345	0
PF00623: RNA polymerase Rpb1, domain 2|g__Polaromonas.s__Polaromonas_naphthalenivorans	2.982	0
PF00623: RNA polymerase Rpb1, domain 2|g__Roseobacter.s__Roseobacter_denitrificans	4.079	0
PF00625: Guanylate kinase	241.662	0
PF00625: Guanylate kinase|g__Escherichia.s__Escherichia_coli	202.557	0
PF00625: Guanylate kinase|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.867	0
PF00625: Guanylate kinase|unclassified	22.238	0
PF00633: Helix-hairpin-helix motif	89.01	0
PF00633: Helix-hairpin-helix motif|g__Corynebacterium.s__Corynebacterium_glutamicum	53.317	0
PF00633: Helix-hairpin-helix motif|g__Escherichia.s__Escherichia_coli	35.693	0
PF00639: PPIC-type PPIASE domain	74.286	0
PF00639: PPIC-type PPIASE domain|g__Chromobacterium.s__Chromobacterium_violaceum	10.512	0
PF00639: PPIC-type PPIASE domain|unclassified	63.774	0
PF00654: Voltage gated chloride channel	69.614	0
PF00654: Voltage gated chloride channel|g__Escherichia.s__Escherichia_coli	69.614	0
PF00662: NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	169.111	0
PF00662: NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus|g__Chromobacterium.s__Chromobacterium_violaceum	24.724	0
PF00662: NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus|g__Staphylococcus.s__Staphylococcus_epidermidis	15.429	0
PF00662: NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus|unclassified	128.958	0
PF00664: ABC transporter transmembrane region	296.679	0
PF00664: ABC transporter transmembrane region|g__Corynebacterium.s__Corynebacterium_glutamicum	50.929	0
PF00664: ABC transporter transmembrane region|g__Escherichia.s__Escherichia_coli	99.054	0
PF00664: ABC transporter transmembrane region|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.959	0
PF00664: ABC transporter transmembrane region|g__Roseobacter.s__Roseobacter_denitrificans	41.913	0
PF00664: ABC transporter transmembrane region|g__Staphylococcus.s__Staphylococcus_epidermidis	20.397	0
PF00664: ABC transporter transmembrane region|unclassified	64.426	0
PF00665: Integrase core domain	1102.734	0
PF00665: Integrase core domain|g__Escherichia.s__Escherichia_coli	526.68	0
PF00665: Integrase core domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	108.792	0
PF00665: Integrase core domain|g__Roseobacter.s__Roseobacter_denitrificans	41.586	0
PF00665: Integrase core domain|g__Staphylococcus.s__Staphylococcus_epidermidis	23.602	0
PF00665: Integrase core domain|unclassified	402.074	0
PF00667: FAD binding domain	14.13	0
PF00667: FAD binding domain|g__Escherichia.s__Escherichia_coli	14.13	0
PF00668: Condensation domain	14.617	0
PF00668: Condensation domain|g__Chromobacterium.s__Chromobacterium_violaceum	14.617	0
PF00669: Bacterial flagellin N-terminal helical region	453.652	0
PF00669: Bacterial flagellin N-terminal helical region|g__Chromobacterium.s__Chromobacterium_violaceum	226.301	0
PF00669: Bacterial flagellin N-terminal helical region|g__Escherichia.s__Escherichia_coli	217.317	0
PF00669: Bacterial flagellin N-terminal helical region|unclassified	10.034	0
PF00670: S-adenosyl-L-homocysteine hydrolase, NAD binding domain	36.227	0
PF00670: S-adenosyl-L-homocysteine hydrolase, NAD binding domain|g__Chromobacterium.s__Chromobacterium_violaceum	11.607	0
PF00670: S-adenosyl-L-homocysteine hydrolase, NAD binding domain|g__Corynebacterium.s__Corynebacterium_glutamicum	21.615	0
PF00670: S-adenosyl-L-homocysteine hydrolase, NAD binding domain|g__Roseobacter.s__Roseobacter_denitrificans	3.004	0
PF00672: HAMP domain	791.368	0
PF00672: HAMP domain|g__Chromobacterium.s__Chromobacterium_violaceum	125.437	0
PF00672: HAMP domain|g__Corynebacterium.s__Corynebacterium_glutamicum	63.889	0
PF00672: HAMP domain|g__Escherichia.s__Escherichia_coli	270.652	0
PF00672: HAMP domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.969	0
PF00672: HAMP domain|unclassified	319.421	0
PF00675: Insulinase (Peptidase family M16)	244.093	0
PF00675: Insulinase (Peptidase family M16)|g__Escherichia.s__Escherichia_coli	39.952	0
PF00675: Insulinase (Peptidase family M16)|g__Roseobacter.s__Roseobacter_denitrificans	60.688	0
PF00675: Insulinase (Peptidase family M16)|g__Staphylococcus.s__Staphylococcus_epidermidis	17.93	0
PF00675: Insulinase (Peptidase family M16)|unclassified	125.522	0
PF00676: Dehydrogenase E1 component	60.972	0
PF00676: Dehydrogenase E1 component|g__Chromobacterium.s__Chromobacterium_violaceum	18.68	0
PF00676: Dehydrogenase E1 component|g__Escherichia.s__Escherichia_coli	3.053	0
PF00676: Dehydrogenase E1 component|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.665	0
PF00676: Dehydrogenase E1 component|g__Roseobacter.s__Roseobacter_denitrificans	12.865	0
PF00676: Dehydrogenase E1 component|g__Staphylococcus.s__Staphylococcus_epidermidis	11.189	0
PF00676: Dehydrogenase E1 component|unclassified	7.519	0
PF00677: Lumazine binding domain	223.601	0
PF00677: Lumazine binding domain|g__Chromobacterium.s__Chromobacterium_violaceum	180.956	0
PF00677: Lumazine binding domain|g__Corynebacterium.s__Corynebacterium_glutamicum	42.645	0
PF00679: Elongation factor G C-terminus	431.565	0
PF00679: Elongation factor G C-terminus|g__Chromobacterium.s__Chromobacterium_violaceum	28.977	0
PF00679: Elongation factor G C-terminus|g__Corynebacterium.s__Corynebacterium_glutamicum	55.615	0
PF00679: Elongation factor G C-terminus|g__Escherichia.s__Escherichia_coli	147.635	0
PF00679: Elongation factor G C-terminus|g__Polaromonas.s__Polaromonas_naphthalenivorans	110.067	0
PF00679: Elongation factor G C-terminus|g__Roseobacter.s__Roseobacter_denitrificans	5.053	0
PF00679: Elongation factor G C-terminus|g__Staphylococcus.s__Staphylococcus_epidermidis	10.587	0
PF00679: Elongation factor G C-terminus|unclassified	73.631	0
PF00682: HMGL-like	130.897	0
PF00682: HMGL-like|g__Corynebacterium.s__Corynebacterium_glutamicum	29.386	0
PF00682: HMGL-like|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.4	0
PF00682: HMGL-like|unclassified	76.111	0
PF00684: DnaJ central domain	138.198	0
PF00684: DnaJ central domain|g__Chromobacterium.s__Chromobacterium_violaceum	34.526	0
PF00684: DnaJ central domain|g__Escherichia.s__Escherichia_coli	33.157	0
PF00684: DnaJ central domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	48.807	0
PF00684: DnaJ central domain|unclassified	21.709	0
PF00686: Starch binding domain	11.636	0
PF00686: Starch binding domain|unclassified	11.636	0
PF00687: Ribosomal protein L1p/L10e family	6.713	0
PF00687: Ribosomal protein L1p/L10e family|unclassified	6.713	0
PF00689: Cation transporting ATPase, C-terminus	80.669	0
PF00689: Cation transporting ATPase, C-terminus|g__Escherichia.s__Escherichia_coli	65.755	0
PF00689: Cation transporting ATPase, C-terminus|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.914	0
PF00690: Cation transporter/ATPase, N-terminus	67.946	0
PF00690: Cation transporter/ATPase, N-terminus|g__Escherichia.s__Escherichia_coli	36.459	0
PF00690: Cation transporter/ATPase, N-terminus|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.914	0
PF00690: Cation transporter/ATPase, N-terminus|unclassified	16.574	0
PF00691: OmpA family	630.097	0
PF00691: OmpA family|g__Chromobacterium.s__Chromobacterium_violaceum	75.561	0
PF00691: OmpA family|g__Escherichia.s__Escherichia_coli	332.752	0
PF00691: OmpA family|g__Polaromonas.s__Polaromonas_naphthalenivorans	38.88	0
PF00691: OmpA family|g__Roseobacter.s__Roseobacter_denitrificans	43.945	0
PF00691: OmpA family|g__Staphylococcus.s__Staphylococcus_epidermidis	28.845	0
PF00691: OmpA family|unclassified	110.113	0
PF00692: dUTPase	30.8	0
PF00692: dUTPase|unclassified	30.8	0
PF00694: Aconitase C-terminal domain	452.451	0
PF00694: Aconitase C-terminal domain|g__Chromobacterium.s__Chromobacterium_violaceum	34.361	0
PF00694: Aconitase C-terminal domain|g__Escherichia.s__Escherichia_coli	241.989	0
PF00694: Aconitase C-terminal domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	31.866	0
PF00694: Aconitase C-terminal domain|g__Staphylococcus.s__Staphylococcus_epidermidis	3.13	0
PF00694: Aconitase C-terminal domain|unclassified	141.105	0
PF00696: Amino acid kinase family	814.223	0
PF00696: Amino acid kinase family|g__Chromobacterium.s__Chromobacterium_violaceum	43.967	0
PF00696: Amino acid kinase family|g__Corynebacterium.s__Corynebacterium_glutamicum	94.315	0
PF00696: Amino acid kinase family|g__Escherichia.s__Escherichia_coli	303.002	0
PF00696: Amino acid kinase family|g__Polaromonas.s__Polaromonas_naphthalenivorans	47.896	0
PF00696: Amino acid kinase family|g__Staphylococcus.s__Staphylococcus_epidermidis	47.629	0
PF00696: Amino acid kinase family|unclassified	277.413	0
PF00697: N-(5'phosphoribosyl)anthranilate (PRA) isomerase	83.107	0
PF00697: N-(5'phosphoribosyl)anthranilate (PRA) isomerase|g__Escherichia.s__Escherichia_coli	14.718	0
PF00697: N-(5'phosphoribosyl)anthranilate (PRA) isomerase|g__Polaromonas.s__Polaromonas_naphthalenivorans	52.986	0
PF00697: N-(5'phosphoribosyl)anthranilate (PRA) isomerase|unclassified	15.402	0
PF00698: Acyl transferase domain	181.845	0
PF00698: Acyl transferase domain|g__Chromobacterium.s__Chromobacterium_violaceum	32.291	0
PF00698: Acyl transferase domain|g__Escherichia.s__Escherichia_coli	127.95	0
PF00698: Acyl transferase domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.383	0
PF00698: Acyl transferase domain|unclassified	12.221	0
PF00700: Bacterial flagellin C-terminal helical region	412.628	0
PF00700: Bacterial flagellin C-terminal helical region|g__Chromobacterium.s__Chromobacterium_violaceum	226.301	0
PF00700: Bacterial flagellin C-terminal helical region|g__Escherichia.s__Escherichia_coli	176.293	0
PF00700: Bacterial flagellin C-terminal helical region|unclassified	10.034	0
PF00701: Dihydrodipicolinate synthetase family	141.274	0
PF00701: Dihydrodipicolinate synthetase family|g__Corynebacterium.s__Corynebacterium_glutamicum	70.906	0
PF00701: Dihydrodipicolinate synthetase family|g__Escherichia.s__Escherichia_coli	7.836	0
PF00701: Dihydrodipicolinate synthetase family|g__Polaromonas.s__Polaromonas_naphthalenivorans	29.571	0
PF00701: Dihydrodipicolinate synthetase family|unclassified	32.962	0
PF00703: Glycosyl hydrolases family 2	77.04	0
PF00703: Glycosyl hydrolases family 2|g__Escherichia.s__Escherichia_coli	69.359	0
PF00703: Glycosyl hydrolases family 2|unclassified	7.681	0
PF00704: Glycosyl hydrolases family 18	9.569	0
PF00704: Glycosyl hydrolases family 18|g__Chromobacterium.s__Chromobacterium_violaceum	9.569	0
PF00707: Translation initiation factor IF-3, C-terminal domain	87.243	0
PF00707: Translation initiation factor IF-3, C-terminal domain|g__Corynebacterium.s__Corynebacterium_glutamicum	87.243	0
PF00708: Acylphosphatase	13.03	0
PF00708: Acylphosphatase|unclassified	13.03	0
PF00709: Adenylosuccinate synthetase	262.005	0
PF00709: Adenylosuccinate synthetase|g__Chromobacterium.s__Chromobacterium_violaceum	40.23	0
PF00709: Adenylosuccinate synthetase|g__Corynebacterium.s__Corynebacterium_glutamicum	12.57	0
PF00709: Adenylosuccinate synthetase|g__Polaromonas.s__Polaromonas_naphthalenivorans	59.413	0
PF00709: Adenylosuccinate synthetase|g__Roseobacter.s__Roseobacter_denitrificans	4.403	0
PF00709: Adenylosuccinate synthetase|unclassified	145.389	0
PF00710: Asparaginase, N-terminal	20.996	0
PF00710: Asparaginase, N-terminal|unclassified	20.996	0
PF00712: DNA polymerase III beta subunit, N-terminal domain	146.362	0
PF00712: DNA polymerase III beta subunit, N-terminal domain|g__Chromobacterium.s__Chromobacterium_violaceum	15.759	0
PF00712: DNA polymerase III beta subunit, N-terminal domain|g__Corynebacterium.s__Corynebacterium_glutamicum	45.131	0
PF00712: DNA polymerase III beta subunit, N-terminal domain|g__Escherichia.s__Escherichia_coli	12.924	0
PF00712: DNA polymerase III beta subunit, N-terminal domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	72.548	0
PF00717: Peptidase S24-like	176.349	0
PF00717: Peptidase S24-like|g__Chromobacterium.s__Chromobacterium_violaceum	31.163	0
PF00717: Peptidase S24-like|g__Escherichia.s__Escherichia_coli	102.881	0
PF00717: Peptidase S24-like|g__Roseobacter.s__Roseobacter_denitrificans	14.116	0
PF00717: Peptidase S24-like|unclassified	28.189	0
PF00719: Inorganic pyrophosphatase	50.724	0
PF00719: Inorganic pyrophosphatase|g__Escherichia.s__Escherichia_coli	19.804	0
PF00719: Inorganic pyrophosphatase|unclassified	30.92	0
PF00722: Glycosyl hydrolases family 16	28.475	0
PF00722: Glycosyl hydrolases family 16|g__Corynebacterium.s__Corynebacterium_glutamicum	28.475	0
PF00724: NADH:flavin oxidoreductase / NADH oxidase family	308.439	0
PF00724: NADH:flavin oxidoreductase / NADH oxidase family|g__Chromobacterium.s__Chromobacterium_violaceum	33.08	0
PF00724: NADH:flavin oxidoreductase / NADH oxidase family|g__Escherichia.s__Escherichia_coli	98.553	0
PF00724: NADH:flavin oxidoreductase / NADH oxidase family|g__Roseobacter.s__Roseobacter_denitrificans	54.932	0
PF00724: NADH:flavin oxidoreductase / NADH oxidase family|unclassified	121.874	0
PF00725: 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	206.953	0
PF00725: 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain|g__Chromobacterium.s__Chromobacterium_violaceum	43.533	0
PF00725: 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain|g__Escherichia.s__Escherichia_coli	37.096	0
PF00725: 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	62.275	0
PF00725: 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain|g__Roseobacter.s__Roseobacter_denitrificans	34.557	0
PF00725: 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain|unclassified	29.49	0
PF00730: HhH-GPD superfamily base excision DNA repair protein	147.248	0
PF00730: HhH-GPD superfamily base excision DNA repair protein|g__Chromobacterium.s__Chromobacterium_violaceum	19.744	0
PF00730: HhH-GPD superfamily base excision DNA repair protein|g__Corynebacterium.s__Corynebacterium_glutamicum	53.317	0
PF00730: HhH-GPD superfamily base excision DNA repair protein|g__Escherichia.s__Escherichia_coli	35.693	0
PF00730: HhH-GPD superfamily base excision DNA repair protein|g__Roseobacter.s__Roseobacter_denitrificans	38.493	0
PF00731: AIR carboxylase	163.255	0
PF00731: AIR carboxylase|g__Corynebacterium.s__Corynebacterium_glutamicum	49.842	0
PF00731: AIR carboxylase|g__Roseobacter.s__Roseobacter_denitrificans	113.413	0
PF00732: GMC oxidoreductase	31.56	0
PF00732: GMC oxidoreductase|unclassified	31.56	0
PF00733: Asparagine synthase	97.275	0
PF00733: Asparagine synthase|g__Chromobacterium.s__Chromobacterium_violaceum	31.559	0
PF00733: Asparagine synthase|g__Corynebacterium.s__Corynebacterium_glutamicum	22.648	0
PF00733: Asparagine synthase|g__Escherichia.s__Escherichia_coli	10.812	0
PF00733: Asparagine synthase|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.841	0
PF00733: Asparagine synthase|unclassified	12.415	0
PF00742: Homoserine dehydrogenase	50.015	0
PF00742: Homoserine dehydrogenase|g__Corynebacterium.s__Corynebacterium_glutamicum	19.618	0
PF00742: Homoserine dehydrogenase|g__Escherichia.s__Escherichia_coli	18.543	0
PF00742: Homoserine dehydrogenase|unclassified	11.854	0
PF00745: Glutamyl-tRNAGlu reductase, dimerisation domain	40.694	0
PF00745: Glutamyl-tRNAGlu reductase, dimerisation domain|g__Chromobacterium.s__Chromobacterium_violaceum	9.985	0
PF00745: Glutamyl-tRNAGlu reductase, dimerisation domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.709	0
PF00749: tRNA synthetases class I (E and Q), catalytic domain	272.873	0
PF00749: tRNA synthetases class I (E and Q), catalytic domain|g__Chromobacterium.s__Chromobacterium_violaceum	8.296	0
PF00749: tRNA synthetases class I (E and Q), catalytic domain|g__Escherichia.s__Escherichia_coli	48.049	0
PF00749: tRNA synthetases class I (E and Q), catalytic domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	38.818	0
PF00749: tRNA synthetases class I (E and Q), catalytic domain|unclassified	177.709	0
PF00750: tRNA synthetases class I (R)	30.8	0
PF00750: tRNA synthetases class I (R)|unclassified	30.8	0
PF00753: Metallo-beta-lactamase superfamily	681.074	0
PF00753: Metallo-beta-lactamase superfamily|g__Chromobacterium.s__Chromobacterium_violaceum	272.193	0
PF00753: Metallo-beta-lactamase superfamily|g__Corynebacterium.s__Corynebacterium_glutamicum	19.23	0
PF00753: Metallo-beta-lactamase superfamily|g__Escherichia.s__Escherichia_coli	126.702	0
PF00753: Metallo-beta-lactamase superfamily|g__Polaromonas.s__Polaromonas_naphthalenivorans	25.87	0
PF00753: Metallo-beta-lactamase superfamily|g__Roseobacter.s__Roseobacter_denitrificans	11.893	0
PF00753: Metallo-beta-lactamase superfamily|unclassified	225.186	0
PF00756: Putative esterase	336.365	0
PF00756: Putative esterase|g__Chromobacterium.s__Chromobacterium_violaceum	152.52	0
PF00756: Putative esterase|g__Corynebacterium.s__Corynebacterium_glutamicum	93.485	0
PF00756: Putative esterase|g__Escherichia.s__Escherichia_coli	33.725	0
PF00756: Putative esterase|g__Roseobacter.s__Roseobacter_denitrificans	19.782	0
PF00756: Putative esterase|unclassified	36.854	0
PF00762: Ferrochelatase	116.037	0
PF00762: Ferrochelatase|g__Escherichia.s__Escherichia_coli	78.418	0
PF00762: Ferrochelatase|unclassified	37.618	0
PF00764: Arginosuccinate synthase	167.563	0
PF00764: Arginosuccinate synthase|g__Chromobacterium.s__Chromobacterium_violaceum	3.759	0
PF00764: Arginosuccinate synthase|g__Escherichia.s__Escherichia_coli	21.173	0
PF00764: Arginosuccinate synthase|g__Roseobacter.s__Roseobacter_denitrificans	43.834	0
PF00764: Arginosuccinate synthase|unclassified	98.797	0
PF00765: Autoinducer synthase	30.337	0
PF00765: Autoinducer synthase|g__Chromobacterium.s__Chromobacterium_violaceum	30.337	0
PF00766: Electron transfer flavoprotein FAD-binding domain	116.972	0
PF00766: Electron transfer flavoprotein FAD-binding domain|g__Escherichia.s__Escherichia_coli	55.084	0
PF00766: Electron transfer flavoprotein FAD-binding domain|unclassified	61.888	0
PF00768: D-alanyl-D-alanine carboxypeptidase	218.409	0
PF00768: D-alanyl-D-alanine carboxypeptidase|g__Chromobacterium.s__Chromobacterium_violaceum	33.218	0
PF00768: D-alanyl-D-alanine carboxypeptidase|g__Escherichia.s__Escherichia_coli	103.006	0
PF00768: D-alanyl-D-alanine carboxypeptidase|g__Roseobacter.s__Roseobacter_denitrificans	10.446	0
PF00768: D-alanyl-D-alanine carboxypeptidase|unclassified	71.739	0
PF00771: FHIPEP family	153.49	0
PF00771: FHIPEP family|g__Chromobacterium.s__Chromobacterium_violaceum	2.111	0
PF00771: FHIPEP family|g__Escherichia.s__Escherichia_coli	37.411	0
PF00771: FHIPEP family|g__Staphylococcus.s__Staphylococcus_epidermidis	101.542	0
PF00771: FHIPEP family|unclassified	12.427	0
PF00772: DnaB-like helicase N terminal domain	114.512	0
PF00772: DnaB-like helicase N terminal domain|g__Corynebacterium.s__Corynebacterium_glutamicum	16.827	0
PF00772: DnaB-like helicase N terminal domain|g__Roseobacter.s__Roseobacter_denitrificans	40.445	0
PF00772: DnaB-like helicase N terminal domain|unclassified	57.24	0
PF00773: RNB domain	123.574	0
PF00773: RNB domain|g__Chromobacterium.s__Chromobacterium_violaceum	17.468	0
PF00773: RNB domain|g__Polaromonas.s__Polaromonas_naphthalenivorans	75.953	0
PF00773: RNB domain|unclassified	30.153	0
PF00775: Dioxygenase	203.808	0
PF00775: Dioxygenase|g__Corynebacterium.s__Corynebacterium_glutamicum	98.653	0
PF00775: Dioxygenase|g__Escherichia.s__Escherichia_coli	23.282	0
PF00775: Dioxygenase|g__Roseobacter.s__Roseobacter_denitrificans	50.696	0
PF00775: Dioxygenase|unclassified	31.177	0
PF00781: Diacylglycerol kinase catalytic domain	38.17	0
PF00781: Diacylglycerol kinase catalytic domain|g__Escherichia.s__Escherichia_coli	15.489	0
PF00781: Diacylglycerol kinase catalytic domain|unclassified	22.682	0
PF00782: Dual specificity phosphatase, catalytic domain	16.244	0
PF00782: Dual specificity phosphatase, catalytic domain|unclassified	16.244	0
PF00793: DAHP synthetase I family	202.277	0
PF00793: DAHP synthetase I family|g__Chromobacterium.s__Chromobacterium_violaceum	28.976	0
PF00793: DAHP synthetase I family|g__Escherichia.s__Escherichia_coli	127.572	0
PF00793: DAHP synthetase I family|unclassified	45.73	0
PF00795: Carbon-nitrogen hydrolase	313.952	0
PF00795: Carbon-nitrogen hydrolase|g__Escherichia.s__Escherichia_coli	272.707	0
PF00795: Carbon-nitrogen hydrolase|g__Polaromonas.s__Polaromonas_naphthalenivorans	32.239	0
PF00795: Carbon-nitrogen hydrolase|unclassified	9.006	0
PF00797: N-acetyltransferase	36.519	0
PF00797: N-acetyltransferase|g__Staphylococcus.s__Staphylococcus_epidermidis	36.519	0
PF00800: Prephenate dehydratase	28.872	0
PF00800: Prephenate dehydratase|unclassified	28.872	0
PF00805: Pentapeptide repeats (8 copies)	70.148	0
PF00805: Pentapeptide repeats (8 copies)|g__Escherichia.s__Escherichia_coli	39.201	0
PF00805: Pentapeptide repeats (8 copies)|unclassified	30.947	0
PF00809: Pterin binding enzyme	228.83	0
PF00809: Pterin binding enzyme|g__Chromobacterium.s__Chromobacterium_violaceum	42.123	0
PF00809: Pterin binding enzyme|g__Escherichia.s__Escherichia_coli	16.005	0
PF00809: Pterin binding enzyme|g__Polaromonas.s__Polaromonas_naphthalenivorans	58.895	0
PF00809: Pterin binding enzyme|unclassified	111.807	0
PF00813: FliP family	194.088	0
PF00813: FliP family|g__Chromobacterium.s__Chromobacterium_violaceum	29.821	0
PF00813: FliP family|g__Escherichia.s__Escherichia_coli	116.957	0
PF00813: FliP family|unclassified	47.311	0
PF00814: Glycoprotease family	302.687	0
PF00814: Glycoprotease family|g__Chromobacterium.s__Chromobacterium_violaceum	123.736	0
