# Gene Family	SRS1007613.eggnog	tiny-test-data-mt.eggnog
COG0531: amino acid	311.671	0
COG0531: amino acid|g__Chromobacterium.s__Chromobacterium_violaceum	43.809	0
COG0531: amino acid|g__Escherichia.s__Escherichia_coli	90.678	0
COG0531: amino acid|g__Staphylococcus.s__Staphylococcus_epidermidis	153.985	0
COG0531: amino acid|unclassified	23.2	0
COG0533: Required for the formation of [...]g with adenine (By similarity)	95.863	0
COG0533: Required for the formation of [...]g with adenine (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	5.986	0
COG0533: Required for the formation of [...]g with adenine (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	79.991	0
COG0533: Required for the formation of [...]g with adenine (By similarity)|g__Escherichia.s__Escherichia_coli	5.026	0
COG0533: Required for the formation of [...]g with adenine (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	4.86	0
COG0534: Mate efflux family protein	14.838	0
COG0534: Mate efflux family protein|g__Roseobacter.s__Roseobacter_denitrificans	14.838	0
COG0536: An essential GTPase which bind[...]tion, in morphogenesis control	115.028	0
COG0536: An essential GTPase which bind[...]tion, in morphogenesis control|g__Corynebacterium.s__Corynebacterium_glutamicum	58.825	0
COG0536: An essential GTPase which bind[...]tion, in morphogenesis control|g__Escherichia.s__Escherichia_coli	8.455	0
COG0536: An essential GTPase which bind[...]tion, in morphogenesis control|g__Staphylococcus.s__Staphylococcus_epidermidis	12.099	0
COG0536: An essential GTPase which bind[...]tion, in morphogenesis control|unclassified	35.648	0
COG0537: histidine triad (hIT) protein	650.181	0
COG0537: histidine triad (hIT) protein|g__Chromobacterium.s__Chromobacterium_violaceum	415.68	0
COG0537: histidine triad (hIT) protein|g__Escherichia.s__Escherichia_coli	234.501	0
COG0539: thus facilitating recognition [...]-rich sequence (By similarity)	20.97	0
COG0539: thus facilitating recognition [...]-rich sequence (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	9.186	0
COG0539: thus facilitating recognition [...]-rich sequence (By similarity)|g__Escherichia.s__Escherichia_coli	5.823	0
COG0539: thus facilitating recognition [...]-rich sequence (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	5.961	0
COG0541: Involved in targeting and inse[...]cts with the SRP receptor FtsY	120.016	0
COG0541: Involved in targeting and inse[...]cts with the SRP receptor FtsY|g__Escherichia.s__Escherichia_coli	15.133	0
COG0541: Involved in targeting and inse[...]cts with the SRP receptor FtsY|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.97	0
COG0541: Involved in targeting and inse[...]cts with the SRP receptor FtsY|g__Roseobacter.s__Roseobacter_denitrificans	44.034	0
COG0541: Involved in targeting and inse[...]cts with the SRP receptor FtsY|g__Staphylococcus.s__Staphylococcus_epidermidis	49.88	0
COG0542: ATP-dependent CLP protease ATP-binding subunit	96.601	0
COG0542: ATP-dependent CLP protease ATP-binding subunit|g__Chromobacterium.s__Chromobacterium_violaceum	26.959	0
COG0542: ATP-dependent CLP protease ATP-binding subunit|g__Corynebacterium.s__Corynebacterium_glutamicum	3.533	0
COG0542: ATP-dependent CLP protease ATP-binding subunit|g__Escherichia.s__Escherichia_coli	4.667	0
COG0542: ATP-dependent CLP protease ATP-binding subunit|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.609	0
COG0542: ATP-dependent CLP protease ATP-binding subunit|g__Roseobacter.s__Roseobacter_denitrificans	41.767	0
COG0542: ATP-dependent CLP protease ATP-binding subunit|unclassified	5.068	0
COG0545: Peptidyl-prolyl cis-trans isomerase	136.81	0
COG0545: Peptidyl-prolyl cis-trans isomerase|g__Corynebacterium.s__Corynebacterium_glutamicum	104.752	0
COG0545: Peptidyl-prolyl cis-trans isomerase|g__Polaromonas.s__Polaromonas_naphthalenivorans	32.058	0
COG0546: had-superfamily hydrolase, subfamily ia, variant	183.051	0
COG0546: had-superfamily hydrolase, subfamily ia, variant|g__Chromobacterium.s__Chromobacterium_violaceum	18.245	0
COG0546: had-superfamily hydrolase, subfamily ia, variant|g__Roseobacter.s__Roseobacter_denitrificans	164.806	0
COG0550: Releases the supercoiling and [...]ester backbone (By similarity)	30.157	0
COG0550: Releases the supercoiling and [...]ester backbone (By similarity)|unclassified	30.157	0
COG0551: DNA topoisomerase type I activity	30.157	0
COG0551: DNA topoisomerase type I activity|unclassified	30.157	0
COG0552: Involved in targeting and inse[...]e ribosome-nascent chain (RNC)	13.685	0
COG0552: Involved in targeting and inse[...]e ribosome-nascent chain (RNC)|unclassified	13.685	0
COG0553: helicase	103.48	0
COG0553: helicase|g__Escherichia.s__Escherichia_coli	36.608	0
COG0553: helicase|unclassified	66.871	0
COG0556: damaged site, the DNA wraps ar[...]and for damage (By similarity)	73.08	0
COG0556: damaged site, the DNA wraps ar[...]and for damage (By similarity)|g__Escherichia.s__Escherichia_coli	26.39	0
COG0556: damaged site, the DNA wraps ar[...]and for damage (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	39.577	0
COG0556: damaged site, the DNA wraps ar[...]and for damage (By similarity)|g__Staphylococcus.s__Staphylococcus_epidermidis	7.114	0
COG0558: cdp-diacylglycerol-glycerol-3-[...]hate 3-phosphatidyltransferase	251.312	0
COG0558: cdp-diacylglycerol-glycerol-3-[...]hate 3-phosphatidyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	16.116	0
COG0558: cdp-diacylglycerol-glycerol-3-[...]hate 3-phosphatidyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	56.576	0
COG0558: cdp-diacylglycerol-glycerol-3-[...]hate 3-phosphatidyltransferase|g__Escherichia.s__Escherichia_coli	178.62	0
COG0559: (ABC) transporter	145.007	0
COG0559: (ABC) transporter|g__Escherichia.s__Escherichia_coli	53.568	0
COG0559: (ABC) transporter|g__Polaromonas.s__Polaromonas_naphthalenivorans	91.439	0
COG0560: phosphoserine phosphatase activity	121.31	0
COG0560: phosphoserine phosphatase activity|g__Chromobacterium.s__Chromobacterium_violaceum	17.152	0
COG0560: phosphoserine phosphatase activity|g__Escherichia.s__Escherichia_coli	104.158	0
COG0561: ,hydrolase	155.573	0
COG0561: ,hydrolase|g__Corynebacterium.s__Corynebacterium_glutamicum	113.347	0
COG0561: ,hydrolase|g__Escherichia.s__Escherichia_coli	42.226	0
COG0563: Catalyzes the reversible trans[...]ide metabolism (By similarity)	130.333	0
COG0563: Catalyzes the reversible trans[...]ide metabolism (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	130.333	0
COG0564: pseudouridine synthase activity	120.107	0
COG0564: pseudouridine synthase activity|g__Escherichia.s__Escherichia_coli	63.22	0
COG0564: pseudouridine synthase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	49.675	0
COG0564: pseudouridine synthase activity|g__Staphylococcus.s__Staphylococcus_epidermidis	7.211	0
COG0565: RNA methyltransferase TrmH family, group 1	14.881	0
COG0565: RNA methyltransferase TrmH family, group 1|g__Escherichia.s__Escherichia_coli	14.881	0
COG0566: Methyltransferase	173.684	0
COG0566: Methyltransferase|g__Chromobacterium.s__Chromobacterium_violaceum	120.285	0
COG0566: Methyltransferase|g__Escherichia.s__Escherichia_coli	37.553	0
COG0566: Methyltransferase|unclassified	15.847	0
COG0567: 2-oxoglutarate dehydrogenase, E1	29.398	0
COG0567: 2-oxoglutarate dehydrogenase, E1|g__Chromobacterium.s__Chromobacterium_violaceum	18.68	0
COG0567: 2-oxoglutarate dehydrogenase, E1|g__Escherichia.s__Escherichia_coli	3.053	0
COG0567: 2-oxoglutarate dehydrogenase, E1|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.665	0
COG0569: Potassium uptake protein	66.926	0
COG0569: Potassium uptake protein|g__Roseobacter.s__Roseobacter_denitrificans	66.926	0
COG0572: uridine kinase	104.123	0
COG0572: uridine kinase|g__Staphylococcus.s__Staphylococcus_epidermidis	104.123	0
COG0573: phosphate abc transporter	53.969	0
COG0573: phosphate abc transporter|g__Chromobacterium.s__Chromobacterium_violaceum	26.235	0
COG0573: phosphate abc transporter|g__Escherichia.s__Escherichia_coli	27.734	0
COG0574: phosphotransferase activity, paired acceptors	5.871	0
COG0574: phosphotransferase activity, paired acceptors|unclassified	5.871	0
COG0575: phosphatidate Cytidylyltransferase	21.108	0
COG0575: phosphatidate Cytidylyltransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	21.108	0
COG0576: Participates actively in the r[...]roteins bind initially to DnaJ	67.525	0
COG0576: Participates actively in the r[...]roteins bind initially to DnaJ|g__Polaromonas.s__Polaromonas_naphthalenivorans	67.525	0
COG0577: ABC transporter (permease)	14.17	0
COG0577: ABC transporter (permease)|g__Corynebacterium.s__Corynebacterium_glutamicum	14.17	0
COG0578: glycerol-3-phosphate dehydrogenase	25.55	0
COG0578: glycerol-3-phosphate dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	16.096	0
COG0578: glycerol-3-phosphate dehydrogenase|g__Escherichia.s__Escherichia_coli	9.455	0
COG0579: malate dehydrogenase (quinone)	52.954	0
COG0579: malate dehydrogenase (quinone)|g__Corynebacterium.s__Corynebacterium_glutamicum	22.672	0
COG0579: malate dehydrogenase (quinone)|g__Escherichia.s__Escherichia_coli	9.559	0
COG0579: malate dehydrogenase (quinone)|unclassified	20.723	0
COG0580: Channel that permits osmotical[...] in osmolarity (By similarity)	99.289	0
COG0580: Channel that permits osmotical[...] in osmolarity (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	21.581	0
COG0580: Channel that permits osmotical[...] in osmolarity (By similarity)|g__Escherichia.s__Escherichia_coli	77.708	0
COG0581: phosphate abc transporter	120.183	0
COG0581: phosphate abc transporter|g__Chromobacterium.s__Chromobacterium_violaceum	39.101	0
COG0581: phosphate abc transporter|g__Corynebacterium.s__Corynebacterium_glutamicum	16.786	0
COG0581: phosphate abc transporter|g__Escherichia.s__Escherichia_coli	28.845	0
COG0581: phosphate abc transporter|g__Staphylococcus.s__Staphylococcus_epidermidis	35.45	0
COG0582: Integrase	90.468	0
COG0582: Integrase|g__Escherichia.s__Escherichia_coli	90.468	0
COG0583: Transcriptional regulator	337.532	0
COG0583: Transcriptional regulator|g__Corynebacterium.s__Corynebacterium_glutamicum	175.17	0
COG0583: Transcriptional regulator|g__Escherichia.s__Escherichia_coli	69.378	0
COG0583: Transcriptional regulator|g__Staphylococcus.s__Staphylococcus_epidermidis	87.431	0
COG0583: Transcriptional regulator|unclassified	5.552	0
COG0586: SNARE associated Golgi	72.944	0
COG0586: SNARE associated Golgi|g__Escherichia.s__Escherichia_coli	55.391	0
COG0586: SNARE associated Golgi|unclassified	17.553	0
COG0587: DNA polymerase III (alpha subunit)	5.085	0
COG0587: DNA polymerase III (alpha subunit)|unclassified	5.085	0
COG0589: Universal stress protein	341.291	0
COG0589: Universal stress protein|g__Corynebacterium.s__Corynebacterium_glutamicum	73.787	0
COG0589: Universal stress protein|g__Escherichia.s__Escherichia_coli	169.729	0
COG0589: Universal stress protein|g__Staphylococcus.s__Staphylococcus_epidermidis	97.775	0
COG0590: deaminase	88.15	0
COG0590: deaminase|g__Polaromonas.s__Polaromonas_naphthalenivorans	48.079	0
COG0590: deaminase|unclassified	40.071	0
COG0592: DNA polymerase processivity factor activity	45.131	0
COG0592: DNA polymerase processivity factor activity|g__Corynebacterium.s__Corynebacterium_glutamicum	45.131	0
COG0593: it binds specifically double-s[...] phospholipids (By similarity)	184.081	0
COG0593: it binds specifically double-s[...] phospholipids (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	42.078	0
COG0593: it binds specifically double-s[...] phospholipids (By similarity)|g__Escherichia.s__Escherichia_coli	23.173	0
COG0593: it binds specifically double-s[...] phospholipids (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	9.018	0
COG0593: it binds specifically double-s[...] phospholipids (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	82.731	0
COG0593: it binds specifically double-s[...] phospholipids (By similarity)|unclassified	27.082	0
COG0596: Alpha beta hydrolase	152.188	0
COG0596: Alpha beta hydrolase|g__Corynebacterium.s__Corynebacterium_glutamicum	83.113	0
COG0596: Alpha beta hydrolase|g__Escherichia.s__Escherichia_coli	20.996	0
COG0596: Alpha beta hydrolase|g__Polaromonas.s__Polaromonas_naphthalenivorans	48.079	0
COG0597: This protein specifically cata[...]rolipoproteins (By similarity)	75.105	0
COG0597: This protein specifically cata[...]rolipoproteins (By similarity)|g__Escherichia.s__Escherichia_coli	75.105	0
COG0598: magnesium and cobalt transport protein CorA	28.438	0
COG0598: magnesium and cobalt transport protein CorA|g__Escherichia.s__Escherichia_coli	28.438	0
COG0600: Binding-protein-dependent tran[...]stems inner membrane component	49.339	0
COG0600: Binding-protein-dependent tran[...]stems inner membrane component|g__Escherichia.s__Escherichia_coli	49.339	0
COG0601: Binding-protein-dependent tran[...]stems inner membrane component	41.735	0
COG0601: Binding-protein-dependent tran[...]stems inner membrane component|g__Roseobacter.s__Roseobacter_denitrificans	39.134	0
COG0601: Binding-protein-dependent tran[...]stems inner membrane component|unclassified	2.602	0
COG0602: Catalyzes the conversion of 6-[...]aguanine (CDG) (By similarity)	49.442	0
COG0602: Catalyzes the conversion of 6-[...]aguanine (CDG) (By similarity)|g__Escherichia.s__Escherichia_coli	45.521	0
COG0602: Catalyzes the conversion of 6-[...]aguanine (CDG) (By similarity)|unclassified	3.921	0
COG0604: alcohol dehydrogenase	21.287	0
COG0604: alcohol dehydrogenase|g__Escherichia.s__Escherichia_coli	15.509	0
COG0604: alcohol dehydrogenase|g__Polaromonas.s__Polaromonas_naphthalenivorans	5.777	0
COG0605: Destroys radicals which are no[...]ogical systems (By similarity)	40.316	0
COG0605: Destroys radicals which are no[...]ogical systems (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	40.316	0
COG0606: Mg chelatase subunit ChlI	18.667	0
COG0606: Mg chelatase subunit ChlI|g__Escherichia.s__Escherichia_coli	18.667	0
COG0607: Rhodanese domain protein	117.734	0
COG0607: Rhodanese domain protein|g__Escherichia.s__Escherichia_coli	117.734	0
COG0608: Single-stranded-DNA-specific exonuclease (RecJ)	10.25	0
COG0608: Single-stranded-DNA-specific exonuclease (RecJ)|unclassified	10.25	0
COG0609: permease protein	75.823	0
COG0609: permease protein|g__Corynebacterium.s__Corynebacterium_glutamicum	20.572	0
COG0609: permease protein|g__Escherichia.s__Escherichia_coli	46.143	0
COG0609: permease protein|g__Staphylococcus.s__Staphylococcus_epidermidis	9.109	0
COG0611: Catalyzes the ATP-dependent ph[...] of vitamin B1 (By similarity)	90.41	0
COG0611: Catalyzes the ATP-dependent ph[...] of vitamin B1 (By similarity)|g__Escherichia.s__Escherichia_coli	90.41	0
COG0612: peptidase'	42.106	0
COG0612: peptidase'|g__Polaromonas.s__Polaromonas_naphthalenivorans	42.106	0
COG0613: DNA-directed DNA polymerase activity	18.754	0
COG0613: DNA-directed DNA polymerase activity|g__Escherichia.s__Escherichia_coli	18.754	0
COG0614: Periplasmic binding protein	123.371	0
COG0614: Periplasmic binding protein|g__Corynebacterium.s__Corynebacterium_glutamicum	123.371	0
COG0616: Signal peptide peptidase, SppA	76.072	0
COG0616: Signal peptide peptidase, SppA|g__Escherichia.s__Escherichia_coli	76.072	0
COG0617: Catalyzes the addition and rep[...]ducing inorganic pyrophosphate	43.835	0
COG0617: Catalyzes the addition and rep[...]ducing inorganic pyrophosphate|g__Polaromonas.s__Polaromonas_naphthalenivorans	43.835	0
COG0619: Cobalt transport protein	34.217	0
COG0619: Cobalt transport protein|g__Corynebacterium.s__Corynebacterium_glutamicum	34.217	0
COG0621: Catalyzes the methylthiolation[...]g with uridine (By similarity)	39.528	0
COG0621: Catalyzes the methylthiolation[...]g with uridine (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	14.48	0
COG0621: Catalyzes the methylthiolation[...]g with uridine (By similarity)|g__Escherichia.s__Escherichia_coli	14.988	0
COG0621: Catalyzes the methylthiolation[...]g with uridine (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.936	0
COG0621: Catalyzes the methylthiolation[...]g with uridine (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	3.124	0
COG0622: Phosphodiesterase, mj0936 family	164.496	0
COG0622: Phosphodiesterase, mj0936 family|g__Escherichia.s__Escherichia_coli	164.496	0
COG0623: Enoyl- acyl-carrier-protein reductase NADH	122.481	0
COG0623: Enoyl- acyl-carrier-protein reductase NADH|g__Chromobacterium.s__Chromobacterium_violaceum	7.82	0
COG0623: Enoyl- acyl-carrier-protein reductase NADH|g__Escherichia.s__Escherichia_coli	108.24	0
COG0623: Enoyl- acyl-carrier-protein reductase NADH|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.42	0
COG0624: succinyl-diaminopimelate desuccinylase activity	26.421	0
COG0624: succinyl-diaminopimelate desuccinylase activity|g__Escherichia.s__Escherichia_coli	14.096	0
COG0624: succinyl-diaminopimelate desuccinylase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.325	0
COG0625: glutathione Stransferase	360.777	0
COG0625: glutathione Stransferase|g__Escherichia.s__Escherichia_coli	247.818	0
COG0625: glutathione Stransferase|g__Polaromonas.s__Polaromonas_naphthalenivorans	54.826	0
COG0625: glutathione Stransferase|g__Roseobacter.s__Roseobacter_denitrificans	58.133	0
COG0626: cystathionine	75.144	0
COG0626: cystathionine|g__Corynebacterium.s__Corynebacterium_glutamicum	37.575	0
COG0626: cystathionine|g__Escherichia.s__Escherichia_coli	19.168	0
COG0626: cystathionine|g__Staphylococcus.s__Staphylococcus_epidermidis	18.402	0
COG0627: esterase	172.301	0
COG0627: esterase|g__Chromobacterium.s__Chromobacterium_violaceum	152.52	0
COG0627: esterase|g__Roseobacter.s__Roseobacter_denitrificans	19.782	0
COG0628: Membrane	99.323	0
COG0628: Membrane|g__Staphylococcus.s__Staphylococcus_epidermidis	54.545	0
COG0628: Membrane|unclassified	44.777	0
COG0632: The RuvA-RuvB complex in the p[...]tivity of RuvB (By similarity)	69.872	0
COG0632: The RuvA-RuvB complex in the p[...]tivity of RuvB (By similarity)|g__Escherichia.s__Escherichia_coli	69.872	0
COG0633: Ferredoxin	95.511	0
COG0633: Ferredoxin|g__Staphylococcus.s__Staphylococcus_epidermidis	68.631	0
COG0633: Ferredoxin|unclassified	26.88	0
COG0634: hypoxanthine phosphoribosyltransferase	325.555	0
COG0634: hypoxanthine phosphoribosyltransferase|g__Corynebacterium.s__Corynebacterium_glutamicum	183.759	0
COG0634: hypoxanthine phosphoribosyltransferase|g__Escherichia.s__Escherichia_coli	50.078	0
COG0634: hypoxanthine phosphoribosyltransferase|g__Roseobacter.s__Roseobacter_denitrificans	81.986	0
COG0634: hypoxanthine phosphoribosyltransferase|unclassified	9.732	0
COG0635: Coproporphyrinogen III oxidase	185.723	0
COG0635: Coproporphyrinogen III oxidase|g__Chromobacterium.s__Chromobacterium_violaceum	38.248	0
COG0635: Coproporphyrinogen III oxidase|g__Escherichia.s__Escherichia_coli	11.309	0
COG0635: Coproporphyrinogen III oxidase|g__Polaromonas.s__Polaromonas_naphthalenivorans	2.912	0
COG0635: Coproporphyrinogen III oxidase|g__Staphylococcus.s__Staphylococcus_epidermidis	133.254	0
COG0637: HAD-superfamily hydrolase subfamily IA variant 3	237.568	0
COG0637: HAD-superfamily hydrolase subfamily IA variant 3|g__Chromobacterium.s__Chromobacterium_violaceum	97.391	0
COG0637: HAD-superfamily hydrolase subfamily IA variant 3|g__Escherichia.s__Escherichia_coli	140.177	0
COG0639: serine threonine-protein phosphatase	46.034	0
COG0639: serine threonine-protein phosphatase|g__Escherichia.s__Escherichia_coli	43.344	0
COG0639: serine threonine-protein phosphatase|unclassified	2.69	0
COG0642: Histidine kinase	85.914	0
COG0642: Histidine kinase|g__Escherichia.s__Escherichia_coli	64.19	0
COG0642: Histidine kinase|unclassified	21.724	0
COG0644: geranylgeranyl reductase	8.647	0
COG0644: geranylgeranyl reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	8.647	0
COG0646: homocysteine S-methyltransferase activity	27.622	0
COG0646: homocysteine S-methyltransferase activity|g__Chromobacterium.s__Chromobacterium_violaceum	17.048	0
COG0646: homocysteine S-methyltransferase activity|g__Escherichia.s__Escherichia_coli	10.575	0
COG0647: Hydrolase	12.518	0
COG0647: Hydrolase|g__Chromobacterium.s__Chromobacterium_violaceum	12.518	0
COG0648: Endonuclease IV plays a role i[...]ocarzinostatin (By similarity)	65.411	0
COG0648: Endonuclease IV plays a role i[...]ocarzinostatin (By similarity)|g__Escherichia.s__Escherichia_coli	42.034	0
COG0648: Endonuclease IV plays a role i[...]ocarzinostatin (By similarity)|unclassified	23.378	0
COG0650: Respiratory-chain NADH dehydrogenase, subunit 1	12.474	0
COG0650: Respiratory-chain NADH dehydrogenase, subunit 1|g__Escherichia.s__Escherichia_coli	12.474	0
COG0651: Monovalent cation H antiporter subunit D	67.732	0
COG0651: Monovalent cation H antiporter subunit D|g__Corynebacterium.s__Corynebacterium_glutamicum	45.227	0
COG0651: Monovalent cation H antiporter subunit D|g__Escherichia.s__Escherichia_coli	22.504	0
COG0652: peptidyl-prolyl cis-trans isomerase activity	26.209	0
COG0652: peptidyl-prolyl cis-trans isomerase activity|g__Escherichia.s__Escherichia_coli	26.209	0
COG0653: Part of the Sec protein transl[...]oss the cell membrane, serving	71.751	0
COG0653: Part of the Sec protein transl[...]oss the cell membrane, serving|g__Corynebacterium.s__Corynebacterium_glutamicum	49.286	0
COG0653: Part of the Sec protein transl[...]oss the cell membrane, serving|g__Escherichia.s__Escherichia_coli	11.336	0
COG0653: Part of the Sec protein transl[...]oss the cell membrane, serving|g__Polaromonas.s__Polaromonas_naphthalenivorans	11.128	0
COG0654: oxidoreductase activity, actin[...]poration of one atom of oxygen	175.431	0
COG0654: oxidoreductase activity, actin[...]poration of one atom of oxygen|g__Chromobacterium.s__Chromobacterium_violaceum	52.838	0
COG0654: oxidoreductase activity, actin[...]poration of one atom of oxygen|g__Escherichia.s__Escherichia_coli	29.503	0
COG0654: oxidoreductase activity, actin[...]poration of one atom of oxygen|g__Polaromonas.s__Polaromonas_naphthalenivorans	40.918	0
COG0654: oxidoreductase activity, actin[...]poration of one atom of oxygen|g__Roseobacter.s__Roseobacter_denitrificans	52.172	0
COG0656: reductase	59.89	0
COG0656: reductase|g__Chromobacterium.s__Chromobacterium_violaceum	43.238	0
COG0656: reductase|g__Escherichia.s__Escherichia_coli	16.652	0
COG0665: Catalyzes the last two steps i[...] mnm(5)s(2)U34 (By similarity)	288.43	0
COG0665: Catalyzes the last two steps i[...] mnm(5)s(2)U34 (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	245.318	0
COG0665: Catalyzes the last two steps i[...] mnm(5)s(2)U34 (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	22.973	0
COG0665: Catalyzes the last two steps i[...] mnm(5)s(2)U34 (By similarity)|unclassified	20.138	0
COG0667: Aldo keto reductase	486.777	0
COG0667: Aldo keto reductase|g__Corynebacterium.s__Corynebacterium_glutamicum	11.326	0
COG0667: Aldo keto reductase|g__Escherichia.s__Escherichia_coli	30.291	0
COG0667: Aldo keto reductase|g__Polaromonas.s__Polaromonas_naphthalenivorans	14.668	0
COG0667: Aldo keto reductase|g__Roseobacter.s__Roseobacter_denitrificans	46.968	0
COG0667: Aldo keto reductase|g__Staphylococcus.s__Staphylococcus_epidermidis	383.524	0
COG0668: Mechanosensitive ion channel	44.064	0
COG0668: Mechanosensitive ion channel|g__Escherichia.s__Escherichia_coli	37.009	0
COG0668: Mechanosensitive ion channel|unclassified	7.055	0
COG0671: PHOsphatase	251.464	0
COG0671: PHOsphatase|g__Escherichia.s__Escherichia_coli	217.666	0
COG0671: PHOsphatase|unclassified	33.797	0
COG0673: oxidoreductase	134.351	0
COG0673: oxidoreductase|g__Corynebacterium.s__Corynebacterium_glutamicum	120.625	0
COG0673: oxidoreductase|unclassified	13.726	0
COG0677: Dehydrogenase	83.109	0
COG0677: Dehydrogenase|g__Chromobacterium.s__Chromobacterium_violaceum	42.863	0
COG0677: Dehydrogenase|g__Escherichia.s__Escherichia_coli	40.246	0
COG0680: Hydrogenase maturation protease	363.236	0
COG0680: Hydrogenase maturation protease|g__Escherichia.s__Escherichia_coli	363.236	0
COG0681: Signal peptidase i	60.56	0
COG0681: Signal peptidase i|g__Chromobacterium.s__Chromobacterium_violaceum	31.163	0
COG0681: Signal peptidase i|g__Escherichia.s__Escherichia_coli	29.397	0
COG0683: (ABC) transporter	28.152	0
COG0683: (ABC) transporter|g__Corynebacterium.s__Corynebacterium_glutamicum	16.731	0
COG0683: (ABC) transporter|unclassified	11.42	0
COG0684: Globally modulates RNA abundan[...]he degradosome (By similarity)	260.518	0
COG0684: Globally modulates RNA abundan[...]he degradosome (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	88.457	0
COG0684: Globally modulates RNA abundan[...]he degradosome (By similarity)|g__Escherichia.s__Escherichia_coli	69.835	0
COG0684: Globally modulates RNA abundan[...]he degradosome (By similarity)|g__Polaromonas.s__Polaromonas_naphthalenivorans	102.226	0
COG0685: Methylenetetrahydrofolate reductase	46.604	0
COG0685: Methylenetetrahydrofolate reductase|g__Chromobacterium.s__Chromobacterium_violaceum	14.365	0
COG0685: Methylenetetrahydrofolate reductase|g__Escherichia.s__Escherichia_coli	24.294	0
COG0685: Methylenetetrahydrofolate reductase|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.945	0
COG0687: polyamine binding	92.769	0
COG0687: polyamine binding|g__Escherichia.s__Escherichia_coli	37.456	0
COG0687: polyamine binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.396	0
COG0687: polyamine binding|g__Roseobacter.s__Roseobacter_denitrificans	34.917	0
COG0689: Phosphorolytic exoribonuclease[...] as substrates (By similarity)	29.355	0
COG0689: Phosphorolytic exoribonuclease[...] as substrates (By similarity)|g__Roseobacter.s__Roseobacter_denitrificans	29.355	0
COG0691: Binds specifically to the SsrA[...]with ribosomes (By similarity)	87.667	0
COG0691: Binds specifically to the SsrA[...]with ribosomes (By similarity)|g__Chromobacterium.s__Chromobacterium_violaceum	37.91	0
COG0691: Binds specifically to the SsrA[...]with ribosomes (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	49.757	0
COG0692: Excises uracil residues from t[...]on of cytosine (By similarity)	40.184	0
COG0692: Excises uracil residues from t[...]on of cytosine (By similarity)|g__Escherichia.s__Escherichia_coli	40.184	0
COG0693: PfpI family	59.212	0
COG0693: PfpI family|g__Escherichia.s__Escherichia_coli	59.212	0
COG0695: Glutaredoxin	107.583	0
COG0695: Glutaredoxin|g__Escherichia.s__Escherichia_coli	107.583	0
COG0697: membrane	139.059	0
COG0697: membrane|g__Corynebacterium.s__Corynebacterium_glutamicum	14.528	0
COG0697: membrane|g__Escherichia.s__Escherichia_coli	84.862	0
COG0697: membrane|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.191	0
COG0697: membrane|unclassified	23.479	0
COG0698: Isomerase	119.923	0
COG0698: Isomerase|g__Corynebacterium.s__Corynebacterium_glutamicum	71.38	0
COG0698: Isomerase|g__Escherichia.s__Escherichia_coli	48.544	0
COG0702: epimerase dehydratase	21.871	0
COG0702: epimerase dehydratase|g__Escherichia.s__Escherichia_coli	21.871	0
COG0703: Catalyzes the specific phospho[...] a cosubstrate (By similarity)	73.401	0
COG0703: Catalyzes the specific phospho[...] a cosubstrate (By similarity)|g__Corynebacterium.s__Corynebacterium_glutamicum	64.555	0
COG0703: Catalyzes the specific phospho[...] a cosubstrate (By similarity)|unclassified	8.846	0
COG0704: Plays a role in the regulation of phosphate uptake	17.566	0
