# Gene Family	SRS1007613.go	tiny-test-data-mt.go
GO:0004852: [MF] uroporphyrinogen-III synthase activity	210.297	0
GO:0004852: [MF] uroporphyrinogen-III synthase activity|g__Corynebacterium.s__Corynebacterium_glutamicum	80.087	0
GO:0004852: [MF] uroporphyrinogen-III synthase activity|g__Escherichia.s__Escherichia_coli	41.015	0
GO:0004852: [MF] uroporphyrinogen-III synthase activity|unclassified	89.195	0
GO:0004853: [MF] uroporphyrinogen decarboxylase activity	116.731	0
GO:0004853: [MF] uroporphyrinogen decarboxylase activity|g__Escherichia.s__Escherichia_coli	103.274	0
GO:0004853: [MF] uroporphyrinogen decarboxylase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.457	0
GO:0004854: [MF] xanthine dehydrogenase activity	381.338	0
GO:0004854: [MF] xanthine dehydrogenase activity|g__Escherichia.s__Escherichia_coli	115.333	0
GO:0004854: [MF] xanthine dehydrogenase activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	51.132	0
GO:0004854: [MF] xanthine dehydrogenase activity|g__Roseobacter.s__Roseobacter_denitrificans	61.189	0
GO:0004854: [MF] xanthine dehydrogenase activity|unclassified	153.683	0
GO:0004855: [MF] xanthine oxidase activity	57.365	0
GO:0004855: [MF] xanthine oxidase activity|g__Roseobacter.s__Roseobacter_denitrificans	57.365	0
GO:0004866: [MF] endopeptidase inhibitor activity	43.621	0
GO:0004866: [MF] endopeptidase inhibitor activity|unclassified	43.621	0
GO:0004888: [MF] transmembrane signaling receptor activity	231.353	0
GO:0004888: [MF] transmembrane signaling receptor activity|g__Chromobacterium.s__Chromobacterium_violaceum	102.054	0
GO:0004888: [MF] transmembrane signaling receptor activity|g__Escherichia.s__Escherichia_coli	67.222	0
GO:0004888: [MF] transmembrane signaling receptor activity|g__Roseobacter.s__Roseobacter_denitrificans	15.329	0
GO:0004888: [MF] transmembrane signaling receptor activity|unclassified	46.748	0
GO:0004970: [MF] ionotropic glutamate receptor activity	247.03	0
GO:0004970: [MF] ionotropic glutamate receptor activity|g__Escherichia.s__Escherichia_coli	175.057	0
GO:0004970: [MF] ionotropic glutamate receptor activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	71.973	0
GO:0005034: [MF] osmosensor activity	15.823	0
GO:0005034: [MF] osmosensor activity|g__Escherichia.s__Escherichia_coli	15.823	0
GO:0005047: [MF] signal recognition particle binding	13.685	0
GO:0005047: [MF] signal recognition particle binding|unclassified	13.685	0
GO:0005048: [MF] signal sequence binding	49.631	0
GO:0005048: [MF] signal sequence binding|g__Escherichia.s__Escherichia_coli	49.631	0
GO:0005085: [MF] guanyl-nucleotide exchange factor activity	406.343	0
GO:0005085: [MF] guanyl-nucleotide exchange factor activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	406.343	0
GO:0005198: [MF] structural molecule activity	3134.505	0
GO:0005198: [MF] structural molecule activity|g__Chromobacterium.s__Chromobacterium_violaceum	230.358	0
GO:0005198: [MF] structural molecule activity|g__Escherichia.s__Escherichia_coli	572.662	0
GO:0005198: [MF] structural molecule activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	16.725	0
GO:0005198: [MF] structural molecule activity|g__Roseobacter.s__Roseobacter_denitrificans	2171.408	0
GO:0005198: [MF] structural molecule activity|unclassified	143.351	0
GO:0005215: [MF] transporter activity	2131.732	0
GO:0005215: [MF] transporter activity|g__Chromobacterium.s__Chromobacterium_violaceum	75.5	0
GO:0005215: [MF] transporter activity|g__Corynebacterium.s__Corynebacterium_glutamicum	246.494	0
GO:0005215: [MF] transporter activity|g__Escherichia.s__Escherichia_coli	919.988	0
GO:0005215: [MF] transporter activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	120.276	0
GO:0005215: [MF] transporter activity|g__Roseobacter.s__Roseobacter_denitrificans	39.504	0
GO:0005215: [MF] transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	72.852	0
GO:0005215: [MF] transporter activity|unclassified	657.118	0
GO:0005216: [MF] ion channel activity	41.995	0
GO:0005216: [MF] ion channel activity|g__Escherichia.s__Escherichia_coli	35.686	0
GO:0005216: [MF] ion channel activity|g__Staphylococcus.s__Staphylococcus_epidermidis	6.308	0
GO:0005247: [MF] voltage-gated chloride channel activity	69.614	0
GO:0005247: [MF] voltage-gated chloride channel activity|g__Escherichia.s__Escherichia_coli	69.614	0
GO:0005275: [MF] amine transmembrane transporter activity	34.311	0
GO:0005275: [MF] amine transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	34.311	0
GO:0005280: [MF] amino acid:proton symporter activity	69.614	0
GO:0005280: [MF] amino acid:proton symporter activity|g__Escherichia.s__Escherichia_coli	69.614	0
GO:0005291: [MF] high-affinity L-histidine transmembrane transporter activity	12.758	0
GO:0005291: [MF] high-affinity L-histidine transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	12.758	0
GO:0005294: [MF] neutral L-amino acid secondary active transmembrane transporter activity	52.37	0
GO:0005294: [MF] neutral L-amino acid secondary active transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	52.37	0
GO:0005298: [MF] proline:sodium symporter activity	20.149	0
GO:0005298: [MF] proline:sodium symporter activity|unclassified	20.149	0
GO:0005302: [MF] L-tyrosine transmembrane transporter activity	3.221	0
GO:0005302: [MF] L-tyrosine transmembrane transporter activity|unclassified	3.221	0
GO:0005304: [MF] L-valine transmembrane transporter activity	12.097	0
GO:0005304: [MF] L-valine transmembrane transporter activity|unclassified	12.097	0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity	505.164	0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|g__Chromobacterium.s__Chromobacterium_violaceum	86.479	0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|g__Corynebacterium.s__Corynebacterium_glutamicum	75.141	0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	156.491	0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	79.622	0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	101.678	0
GO:0005315: [MF] inorganic phosphate transmembrane transporter activity|unclassified	5.752	0
GO:0005337: [MF] nucleoside transmembrane transporter activity	346.808	0
GO:0005337: [MF] nucleoside transmembrane transporter activity|g__Chromobacterium.s__Chromobacterium_violaceum	8.651	0
GO:0005337: [MF] nucleoside transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	308.58	0
GO:0005337: [MF] nucleoside transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	7.985	0
GO:0005337: [MF] nucleoside transmembrane transporter activity|unclassified	21.592	0
GO:0005344: [MF] oxygen carrier activity	74.007	0
GO:0005344: [MF] oxygen carrier activity|g__Escherichia.s__Escherichia_coli	58.935	0
GO:0005344: [MF] oxygen carrier activity|unclassified	15.072	0
GO:0005345: [MF] purine nucleobase transmembrane transporter activity	36.093	0
GO:0005345: [MF] purine nucleobase transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	36.093	0
GO:0005351: [MF] carbohydrate:proton symporter activity	318.638	0
GO:0005351: [MF] carbohydrate:proton symporter activity|g__Escherichia.s__Escherichia_coli	167.407	0
GO:0005351: [MF] carbohydrate:proton symporter activity|unclassified	151.231	0
GO:0005354: [MF] galactose transmembrane transporter activity	18.558	0
GO:0005354: [MF] galactose transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	2.887	0
GO:0005354: [MF] galactose transmembrane transporter activity|g__Staphylococcus.s__Staphylococcus_epidermidis	15.672	0
GO:0005375: [MF] copper ion transmembrane transporter activity	42.216	0
GO:0005375: [MF] copper ion transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	12.958	0
GO:0005375: [MF] copper ion transmembrane transporter activity|g__Polaromonas.s__Polaromonas_naphthalenivorans	20.565	0
GO:0005375: [MF] copper ion transmembrane transporter activity|unclassified	8.694	0
GO:0005381: [MF] iron ion transmembrane transporter activity	97.103	0
GO:0005381: [MF] iron ion transmembrane transporter activity|unclassified	97.103	0
GO:0005385: [MF] zinc ion transmembrane transporter activity	17.863	0
GO:0005385: [MF] zinc ion transmembrane transporter activity|g__Escherichia.s__Escherichia_coli	17.863	0
GO:0005451: [MF] monovalent cation:proton antiporter activity	62.639	0
GO:0005451: [MF] monovalent cation:proton antiporter activity|g__Escherichia.s__Escherichia_coli	21.634	0
GO:0005451: [MF] monovalent cation:proton antiporter activity|unclassified	41.005	0
GO:0005471: [MF] ATP:ADP antiporter activity	27.899	0
GO:0005471: [MF] ATP:ADP antiporter activity|unclassified	27.899	0
GO:0005504: [MF] fatty acid binding	68.858	0
GO:0005504: [MF] fatty acid binding|g__Escherichia.s__Escherichia_coli	58.935	0
GO:0005504: [MF] fatty acid binding|unclassified	9.923	0
GO:0005506: [MF] iron ion binding	3860.105	0
GO:0005506: [MF] iron ion binding|g__Chromobacterium.s__Chromobacterium_violaceum	1826.259	0
GO:0005506: [MF] iron ion binding|g__Corynebacterium.s__Corynebacterium_glutamicum	114.639	0
GO:0005506: [MF] iron ion binding|g__Escherichia.s__Escherichia_coli	563.193	0
GO:0005506: [MF] iron ion binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	506.338	0
GO:0005506: [MF] iron ion binding|g__Roseobacter.s__Roseobacter_denitrificans	152.024	0
GO:0005506: [MF] iron ion binding|g__Staphylococcus.s__Staphylococcus_epidermidis	58.113	0
GO:0005506: [MF] iron ion binding|unclassified	639.539	0
GO:0005507: [MF] copper ion binding	739.813	0
GO:0005507: [MF] copper ion binding|g__Chromobacterium.s__Chromobacterium_violaceum	39.463	0
GO:0005507: [MF] copper ion binding|g__Escherichia.s__Escherichia_coli	221.1	0
GO:0005507: [MF] copper ion binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	101.568	0
GO:0005507: [MF] copper ion binding|g__Staphylococcus.s__Staphylococcus_epidermidis	61.484	0
GO:0005507: [MF] copper ion binding|unclassified	316.199	0
GO:0005509: [MF] calcium ion binding	547.745	0
GO:0005509: [MF] calcium ion binding|g__Escherichia.s__Escherichia_coli	165.071	0
GO:0005509: [MF] calcium ion binding|g__Roseobacter.s__Roseobacter_denitrificans	313.619	0
GO:0005509: [MF] calcium ion binding|unclassified	69.055	0
GO:0005524: [MF] ATP binding	32399.342	0
GO:0005524: [MF] ATP binding|g__Chromobacterium.s__Chromobacterium_violaceum	2699.139	0
GO:0005524: [MF] ATP binding|g__Corynebacterium.s__Corynebacterium_glutamicum	2816.349	0
GO:0005524: [MF] ATP binding|g__Escherichia.s__Escherichia_coli	11608.055	0
GO:0005524: [MF] ATP binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	2663.649	0
GO:0005524: [MF] ATP binding|g__Roseobacter.s__Roseobacter_denitrificans	1519.742	0
GO:0005524: [MF] ATP binding|g__Staphylococcus.s__Staphylococcus_epidermidis	1547.182	0
GO:0005524: [MF] ATP binding|unclassified	9545.225	0
GO:0005525: [MF] GTP binding	2922.224	0
GO:0005525: [MF] GTP binding|g__Chromobacterium.s__Chromobacterium_violaceum	291.953	0
GO:0005525: [MF] GTP binding|g__Corynebacterium.s__Corynebacterium_glutamicum	243.352	0
GO:0005525: [MF] GTP binding|g__Escherichia.s__Escherichia_coli	782.373	0
GO:0005525: [MF] GTP binding|g__Polaromonas.s__Polaromonas_naphthalenivorans	231.924	0
GO:0005525: [MF] GTP binding|g__Roseobacter.s__Roseobacter_denitrificans	197.558	0
GO:0005525: [MF] GTP binding|g__Staphylococcus.s__Staphylococcus_epidermidis	192.28	0
GO:0005525: [MF] GTP binding|unclassified	982.784	0
GO:0005534: [MF] galactose binding	59.56	0
GO:0005534: [MF] galactose binding|g__Escherichia.s__Escherichia_coli	49.828	0
GO:0005534: [MF] galactose binding|unclassified	9.732	0
GO:0005536: [MF] glucose binding	103.339	0
GO:0005536: [MF] glucose binding|g__Escherichia.s__Escherichia_coli	54.963	0
GO:0005536: [MF] glucose binding|unclassified	48.375	0
GO:0005548: [MF] phospholipid transporter activity	33.82	0
GO:0005548: [MF] phospholipid transporter activity|g__Escherichia.s__Escherichia_coli	33.82	0
GO:0005576: [CC] extracellular region	1704.088	0
GO:0005576: [CC] extracellular region|g__Chromobacterium.s__Chromobacterium_violaceum	378.491	0
GO:0005576: [CC] extracellular region|g__Corynebacterium.s__Corynebacterium_glutamicum	39.305	0
GO:0005576: [CC] extracellular region|g__Escherichia.s__Escherichia_coli	325.12	0
GO:0005576: [CC] extracellular region|g__Polaromonas.s__Polaromonas_naphthalenivorans	6.898	0
GO:0005576: [CC] extracellular region|g__Roseobacter.s__Roseobacter_denitrificans	229.683	0
GO:0005576: [CC] extracellular region|g__Staphylococcus.s__Staphylococcus_epidermidis	599.493	0
GO:0005576: [CC] extracellular region|unclassified	125.097	0
GO:0005615: [CC] extracellular space	13.783	0
GO:0005615: [CC] extracellular space|unclassified	13.783	0
GO:0005618: [CC] cell wall	52.248	0
GO:0005618: [CC] cell wall|g__Escherichia.s__Escherichia_coli	52.248	0
GO:0005623: [CC] cell	2677.363	0
GO:0005623: [CC] cell|g__Chromobacterium.s__Chromobacterium_violaceum	735.582	0
GO:0005623: [CC] cell|g__Corynebacterium.s__Corynebacterium_glutamicum	318.676	0
GO:0005623: [CC] cell|g__Escherichia.s__Escherichia_coli	728.776	0
GO:0005623: [CC] cell|g__Polaromonas.s__Polaromonas_naphthalenivorans	510.212	0
GO:0005623: [CC] cell|g__Roseobacter.s__Roseobacter_denitrificans	113.509	0
GO:0005623: [CC] cell|g__Staphylococcus.s__Staphylococcus_epidermidis	18.83	0
GO:0005623: [CC] cell|unclassified	251.778	0
GO:0005634: [CC] nucleus	32.882	0
GO:0005634: [CC] nucleus|g__Chromobacterium.s__Chromobacterium_violaceum	32.882	0
GO:0005694: [CC] chromosome	570.248	0
GO:0005694: [CC] chromosome|g__Chromobacterium.s__Chromobacterium_violaceum	173.068	0
GO:0005694: [CC] chromosome|g__Escherichia.s__Escherichia_coli	102.953	0
GO:0005694: [CC] chromosome|g__Roseobacter.s__Roseobacter_denitrificans	36.595	0
GO:0005694: [CC] chromosome|g__Staphylococcus.s__Staphylococcus_epidermidis	42.054	0
GO:0005694: [CC] chromosome|unclassified	215.578	0
GO:0005727: [CC] extrachromosomal circular DNA	983.456	0
GO:0005727: [CC] extrachromosomal circular DNA|g__Staphylococcus.s__Staphylococcus_epidermidis	944.997	0
GO:0005727: [CC] extrachromosomal circular DNA|unclassified	38.46	0
GO:0005737: [CC] cytoplasm	37926.782	0
GO:0005737: [CC] cytoplasm|g__Chromobacterium.s__Chromobacterium_violaceum	3065.831	0
GO:0005737: [CC] cytoplasm|g__Corynebacterium.s__Corynebacterium_glutamicum	4179.392	0
GO:0005737: [CC] cytoplasm|g__Escherichia.s__Escherichia_coli	16307.193	0
GO:0005737: [CC] cytoplasm|g__Polaromonas.s__Polaromonas_naphthalenivorans	5721.734	0
GO:0005737: [CC] cytoplasm|g__Roseobacter.s__Roseobacter_denitrificans	1332.18	0
GO:0005737: [CC] cytoplasm|g__Staphylococcus.s__Staphylococcus_epidermidis	2893.67	0
GO:0005737: [CC] cytoplasm|unclassified	4426.782	0
GO:0005739: [CC] mitochondrion	348.871	0
GO:0005739: [CC] mitochondrion|g__Chromobacterium.s__Chromobacterium_violaceum	125.321	0
GO:0005739: [CC] mitochondrion|g__Escherichia.s__Escherichia_coli	148.107	0
GO:0005739: [CC] mitochondrion|g__Polaromonas.s__Polaromonas_naphthalenivorans	2.095	0
GO:0005739: [CC] mitochondrion|g__Roseobacter.s__Roseobacter_denitrificans	13.485	0
GO:0005739: [CC] mitochondrion|g__Staphylococcus.s__Staphylococcus_epidermidis	59.863	0
GO:0005743: [CC] mitochondrial inner membrane	51.418	0
GO:0005743: [CC] mitochondrial inner membrane|g__Chromobacterium.s__Chromobacterium_violaceum	11.501	0
GO:0005743: [CC] mitochondrial inner membrane|g__Corynebacterium.s__Corynebacterium_glutamicum	18.885	0
GO:0005743: [CC] mitochondrial inner membrane|g__Polaromonas.s__Polaromonas_naphthalenivorans	18.827	0
GO:0005743: [CC] mitochondrial inner membrane|g__Staphylococcus.s__Staphylococcus_epidermidis	2.205	0
GO:0005759: [CC] mitochondrial matrix	122.357	0
GO:0005759: [CC] mitochondrial matrix|g__Chromobacterium.s__Chromobacterium_violaceum	28.135	0
GO:0005759: [CC] mitochondrial matrix|g__Corynebacterium.s__Corynebacterium_glutamicum	18.885	0
GO:0005759: [CC] mitochondrial matrix|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.034	0
GO:0005759: [CC] mitochondrial matrix|g__Roseobacter.s__Roseobacter_denitrificans	43.098	0
GO:0005759: [CC] mitochondrial matrix|g__Staphylococcus.s__Staphylococcus_epidermidis	2.205	0
GO:0005773: [CC] vacuole	52.171	0
GO:0005773: [CC] vacuole|g__Escherichia.s__Escherichia_coli	49.041	0
GO:0005773: [CC] vacuole|g__Staphylococcus.s__Staphylococcus_epidermidis	3.13	0
GO:0005777: [CC] peroxisome	43.533	0
GO:0005777: [CC] peroxisome|g__Chromobacterium.s__Chromobacterium_violaceum	43.533	0
GO:0005829: [CC] cytosol	6437.124	0
GO:0005829: [CC] cytosol|g__Chromobacterium.s__Chromobacterium_violaceum	533.93	0
GO:0005829: [CC] cytosol|g__Corynebacterium.s__Corynebacterium_glutamicum	42.434	0
GO:0005829: [CC] cytosol|g__Escherichia.s__Escherichia_coli	4204.811	0
GO:0005829: [CC] cytosol|g__Polaromonas.s__Polaromonas_naphthalenivorans	381.587	0
GO:0005829: [CC] cytosol|g__Roseobacter.s__Roseobacter_denitrificans	37.552	0
GO:0005829: [CC] cytosol|g__Staphylococcus.s__Staphylococcus_epidermidis	682.63	0
GO:0005829: [CC] cytosol|unclassified	554.182	0
GO:0005839: [CC] proteasome core complex	562.912	0
GO:0005839: [CC] proteasome core complex|g__Chromobacterium.s__Chromobacterium_violaceum	32.054	0
GO:0005839: [CC] proteasome core complex|g__Escherichia.s__Escherichia_coli	362.512	0
GO:0005839: [CC] proteasome core complex|g__Polaromonas.s__Polaromonas_naphthalenivorans	56.699	0
GO:0005839: [CC] proteasome core complex|g__Roseobacter.s__Roseobacter_denitrificans	11.571	0
GO:0005839: [CC] proteasome core complex|g__Staphylococcus.s__Staphylococcus_epidermidis	100.075	0
GO:0005840: [CC] ribosome	9844.804	0
GO:0005840: [CC] ribosome|g__Chromobacterium.s__Chromobacterium_violaceum	772.778	0
GO:0005840: [CC] ribosome|g__Corynebacterium.s__Corynebacterium_glutamicum	596.641	0
GO:0005840: [CC] ribosome|g__Escherichia.s__Escherichia_coli	4032.509	0
GO:0005840: [CC] ribosome|g__Polaromonas.s__Polaromonas_naphthalenivorans	1976.654	0
GO:0005840: [CC] ribosome|g__Roseobacter.s__Roseobacter_denitrificans	1052.954	0
GO:0005840: [CC] ribosome|g__Staphylococcus.s__Staphylococcus_epidermidis	716.757	0
GO:0005840: [CC] ribosome|unclassified	696.511	0
GO:0005856: [CC] cytoskeleton	39.084	0
GO:0005856: [CC] cytoskeleton|g__Escherichia.s__Escherichia_coli	10.24	0
GO:0005856: [CC] cytoskeleton|g__Staphylococcus.s__Staphylococcus_epidermidis	28.845	0
GO:0005886: [CC] plasma membrane	40051.054	0
GO:0005886: [CC] plasma membrane|g__Chromobacterium.s__Chromobacterium_violaceum	4449.184	0
GO:0005886: [CC] plasma membrane|g__Corynebacterium.s__Corynebacterium_glutamicum	1394.312	0
GO:0005886: [CC] plasma membrane|g__Escherichia.s__Escherichia_coli	24505.785	0
GO:0005886: [CC] plasma membrane|g__Polaromonas.s__Polaromonas_naphthalenivorans	1791.081	0
GO:0005886: [CC] plasma membrane|g__Roseobacter.s__Roseobacter_denitrificans	1394.787	0
GO:0005886: [CC] plasma membrane|g__Staphylococcus.s__Staphylococcus_epidermidis	3459.483	0
GO:0005886: [CC] plasma membrane|unclassified	3056.423	0
GO:0005887: [CC] integral component of plasma membrane	6329.223	0
GO:0005887: [CC] integral component of plasma membrane|g__Chromobacterium.s__Chromobacterium_violaceum	627.388	0
GO:0005887: [CC] integral component of plasma membrane|g__Corynebacterium.s__Corynebacterium_glutamicum	291.456	0
GO:0005887: [CC] integral component of plasma membrane|g__Escherichia.s__Escherichia_coli	4206.253	0
GO:0005887: [CC] integral component of plasma membrane|g__Polaromonas.s__Polaromonas_naphthalenivorans	249.831	0
GO:0005887: [CC] integral component of plasma membrane|g__Roseobacter.s__Roseobacter_denitrificans	127.562	0
GO:0005887: [CC] integral component of plasma membrane|g__Staphylococcus.s__Staphylococcus_epidermidis	308.037	0
GO:0005887: [CC] integral component of plasma membrane|unclassified	518.697	0
GO:0005948: [CC] acetolactate synthase complex	19.706	0
GO:0005948: [CC] acetolactate synthase complex|g__Chromobacterium.s__Chromobacterium_violaceum	19.706	0
GO:0005950: [CC] anthranilate synthase complex	38.612	0
GO:0005950: [CC] anthranilate synthase complex|g__Escherichia.s__Escherichia_coli	38.612	0
GO:0005951: [CC] carbamoyl-phosphate synthase complex	15.916	0
GO:0005951: [CC] carbamoyl-phosphate synthase complex|g__Corynebacterium.s__Corynebacterium_glutamicum	11.682	0
GO:0005951: [CC] carbamoyl-phosphate synthase complex|g__Polaromonas.s__Polaromonas_naphthalenivorans	4.234	0
GO:0005960: [CC] glycine cleavage complex	103.941	0
GO:0005960: [CC] glycine cleavage complex|g__Staphylococcus.s__Staphylococcus_epidermidis	73.714	0
GO:0005960: [CC] glycine cleavage complex|unclassified	30.227	0
GO:0005971: [CC] ribonucleoside-diphosphate reductase complex	19.969	0
GO:0005971: [CC] ribonucleoside-diphosphate reductase complex|g__Escherichia.s__Escherichia_coli	19.969	0
GO:0005975: [BP] carbohydrate metabolic process	5628.463	0
GO:0005975: [BP] carbohydrate metabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	259.283	0
GO:0005975: [BP] carbohydrate metabolic process|g__Corynebacterium.s__Corynebacterium_glutamicum	183.055	0
GO:0005975: [BP] carbohydrate metabolic process|g__Escherichia.s__Escherichia_coli	3068.835	0
GO:0005975: [BP] carbohydrate metabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	160.051	0
GO:0005975: [BP] carbohydrate metabolic process|g__Roseobacter.s__Roseobacter_denitrificans	98.858	0
GO:0005975: [BP] carbohydrate metabolic process|g__Staphylococcus.s__Staphylococcus_epidermidis	166.074	0
GO:0005975: [BP] carbohydrate metabolic process|unclassified	1692.306	0
GO:0005976: [BP] polysaccharide metabolic process	52.626	0
GO:0005976: [BP] polysaccharide metabolic process|g__Escherichia.s__Escherichia_coli	52.626	0
GO:0005977: [BP] glycogen metabolic process	32.264	0
GO:0005977: [BP] glycogen metabolic process|g__Escherichia.s__Escherichia_coli	4.117	0
GO:0005977: [BP] glycogen metabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	28.147	0
GO:0005978: [BP] glycogen biosynthetic process	136.605	0
GO:0005978: [BP] glycogen biosynthetic process|g__Corynebacterium.s__Corynebacterium_glutamicum	38.281	0
GO:0005978: [BP] glycogen biosynthetic process|g__Roseobacter.s__Roseobacter_denitrificans	8.781	0
GO:0005978: [BP] glycogen biosynthetic process|unclassified	89.544	0
GO:0005989: [BP] lactose biosynthetic process	59.631	0
GO:0005989: [BP] lactose biosynthetic process|g__Escherichia.s__Escherichia_coli	59.631	0
GO:0005991: [BP] trehalose metabolic process	340.642	0
GO:0005991: [BP] trehalose metabolic process|g__Escherichia.s__Escherichia_coli	127.419	0
GO:0005991: [BP] trehalose metabolic process|unclassified	213.223	0
GO:0005992: [BP] trehalose biosynthetic process	67.067	0
GO:0005992: [BP] trehalose biosynthetic process|g__Escherichia.s__Escherichia_coli	67.067	0
GO:0005993: [BP] trehalose catabolic process	88.455	0
GO:0005993: [BP] trehalose catabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	42.972	0
GO:0005993: [BP] trehalose catabolic process|g__Escherichia.s__Escherichia_coli	38.41	0
GO:0005993: [BP] trehalose catabolic process|g__Staphylococcus.s__Staphylococcus_epidermidis	2.708	0
GO:0005993: [BP] trehalose catabolic process|unclassified	4.365	0
GO:0005995: [BP] melibiose catabolic process	15.16	0
GO:0005995: [BP] melibiose catabolic process|g__Escherichia.s__Escherichia_coli	15.16	0
GO:0005996: [BP] monosaccharide metabolic process	136.752	0
GO:0005996: [BP] monosaccharide metabolic process|g__Escherichia.s__Escherichia_coli	68.886	0
GO:0005996: [BP] monosaccharide metabolic process|unclassified	67.866	0
GO:0006000: [BP] fructose metabolic process	107.512	0
GO:0006000: [BP] fructose metabolic process|g__Escherichia.s__Escherichia_coli	40.044	0
GO:0006000: [BP] fructose metabolic process|g__Staphylococcus.s__Staphylococcus_epidermidis	67.467	0
GO:0006002: [BP] fructose 6-phosphate metabolic process	78.762	0
GO:0006002: [BP] fructose 6-phosphate metabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	12.267	0
GO:0006002: [BP] fructose 6-phosphate metabolic process|g__Escherichia.s__Escherichia_coli	22.698	0
GO:0006002: [BP] fructose 6-phosphate metabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	12.46	0
GO:0006002: [BP] fructose 6-phosphate metabolic process|unclassified	31.338	0
GO:0006004: [BP] fucose metabolic process	53.183	0
GO:0006004: [BP] fucose metabolic process|g__Escherichia.s__Escherichia_coli	49.604	0
GO:0006004: [BP] fucose metabolic process|unclassified	3.578	0
GO:0006006: [BP] glucose metabolic process	392.528	0
GO:0006006: [BP] glucose metabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	10.221	0
GO:0006006: [BP] glucose metabolic process|g__Corynebacterium.s__Corynebacterium_glutamicum	50.576	0
GO:0006006: [BP] glucose metabolic process|g__Escherichia.s__Escherichia_coli	127.676	0
GO:0006006: [BP] glucose metabolic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	74.824	0
GO:0006006: [BP] glucose metabolic process|g__Staphylococcus.s__Staphylococcus_epidermidis	5.975	0
GO:0006006: [BP] glucose metabolic process|unclassified	123.256	0
GO:0006007: [BP] glucose catabolic process	33.984	0
GO:0006007: [BP] glucose catabolic process|g__Chromobacterium.s__Chromobacterium_violaceum	14.304	0
GO:0006007: [BP] glucose catabolic process|g__Escherichia.s__Escherichia_coli	12.47	0
GO:0006007: [BP] glucose catabolic process|unclassified	7.211	0
GO:0006011: [BP] UDP-glucose metabolic process	593.585	0
GO:0006011: [BP] UDP-glucose metabolic process|g__Escherichia.s__Escherichia_coli	342.442	0
GO:0006011: [BP] UDP-glucose metabolic process|unclassified	251.143	0
GO:0006012: [BP] galactose metabolic process	255.138	0
GO:0006012: [BP] galactose metabolic process|g__Corynebacterium.s__Corynebacterium_glutamicum	15.632	0
GO:0006012: [BP] galactose metabolic process|g__Escherichia.s__Escherichia_coli	213.057	0
GO:0006012: [BP] galactose metabolic process|g__Roseobacter.s__Roseobacter_denitrificans	16.716	0
GO:0006012: [BP] galactose metabolic process|unclassified	9.732	0
GO:0006013: [BP] mannose metabolic process	95.028	0
GO:0006013: [BP] mannose metabolic process|g__Staphylococcus.s__Staphylococcus_epidermidis	95.028	0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process	77.754	0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process|g__Chromobacterium.s__Chromobacterium_violaceum	48.29	0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process|g__Escherichia.s__Escherichia_coli	13.599	0
GO:0006015: [BP] 5-phosphoribose 1-diphosphate biosynthetic process|g__Polaromonas.s__Polaromonas_naphthalenivorans	15.865	0
GO:0006032: [BP] chitin catabolic process	462.147	0
